STATION_ID,DURATION,SENSOR_NUMBER,SENS_TYPE,DATE TIME,OBS DATE,VALUE,DATA_FLAG,UNITS
BFK,M,2,RAIN,1990-01-01 00:00,1990-12-29 00:00,0.85,,INCHES
BFK,M,2,RAIN,1990-02-01 00:00,1990-01-31 00:00,0.93,,INCHES
BFK,M,2,RAIN,1990-03-01 00:00,1990-02-28 00:00,0.45,,INCHES
BFK,M,2,RAIN,1990-04-01 00:00,1990-03-31 00:00,0.18,,INCHES
BFK,M,2,RAIN,1990-05-01 00:00,1990-04-30 00:00,0.29,,INCHES
BFK,M,2,RAIN,1990-06-01 00:00,1990-05-29 00:00,0.0,,INCHES
BFK,M,2,RAIN,1990-07-01 00:00,1990-07-29 00:00,0.0,,INCHES
BFK,M,2,RAIN,1990-08-01 00:00,1990-08-29 00:00,0.0,,INCHES
BFK,M,2,RAIN,1990-09-01 00:00,1990-09-28 00:00,0.05,,INCHES
BFK,M,2,RAIN,1990-10-01 00:00,1990-10-29 00:00,0.03,,INCHES
BFK,M,2,RAIN,1990-11-01 00:00,1990-11-28 00:00,0.47,,INCHES
BFK,M,2,RAIN,1990-12-01 00:00,1990-12-29 00:00,0.26,,INCHES
BFK,M,2,RAIN,1991-01-01 00:00,1991-01-31 00:00,0.62,,INCHES
BFK,M,2,RAIN,1991-02-01 00:00,1991-02-28 00:00,0.13,,INCHES
BFK,M,2,RAIN,1991-03-01 00:00,1991-03-31 00:00,4.33,,INCHES
BFK,M,2,RAIN,1991-04-01 00:00,1991-04-30 00:00,0.06,,INCHES
BFK,M,2,RAIN,1991-05-01 00:00,1991-05-29 00:00,0.0,,INCHES
BFK,M,2,RAIN,1991-06-01 00:00,1991-06-28 00:00,0.0,,INCHES
BFK,M,2,RAIN,1991-07-01 00:00,1991-07-29 00:00,0.0,,INCHES
BFK,M,2,RAIN,1991-08-01 00:00,1991-08-29 00:00,0.0,,INCHES
BFK,M,2,RAIN,1991-09-01 00:00,1991-09-28 00:00,0.01,,INCHES
BFK,M,2,RAIN,1991-10-01 00:00,1991-10-29 00:00,0.3,,INCHES
BFK,M,2,RAIN,1991-11-01 00:00,1991-11-30 00:00,0.01,,INCHES
BFK,M,2,RAIN,1991-12-01 00:00,1991-12-29 00:00,1.04,,INCHES
