STATION_ID,DURATION,SENSOR_NUMBER,SENS_TYPE,DATE TIME,OBS DATE,VALUE,DATA_FLAG,UNITS
ERK,M,2,RAIN,1990-01-01 00:00,1990-12-29 00:00,7.2,,INCHES
ERK,M,2,RAIN,1990-02-01 00:00,1990-01-31 00:00,4.5,,INCHES
ERK,M,2,RAIN,1990-03-01 00:00,1990-02-28 00:00,3.3,,INCHES
ERK,M,2,RAIN,1990-04-01 00:00,1990-03-31 00:00,1.41,,INCHES
ERK,M,2,RAIN,1990-05-01 00:00,1990-04-30 00:00,3.74,,INCHES
ERK,M,2,RAIN,1990-06-01 00:00,1990-05-29 00:00,0.32,,INCHES
ERK,M,2,RAIN,1990-07-01 00:00,1990-07-29 00:00,0.22,,INCHES
ERK,M,2,RAIN,1990-08-01 00:00,1990-08-29 00:00,0.71,,INCHES
ERK,M,2,RAIN,1990-09-01 00:00,1990-09-28 00:00,0.19,,INCHES
ERK,M,2,RAIN,1990-10-01 00:00,1990-10-29 00:00,1.73,,INCHES
ERK,M,2,RAIN,1990-11-01 00:00,1990-11-28 00:00,3.07,,INCHES
ERK,M,2,RAIN,1990-12-01 00:00,1990-12-29 00:00,2.91,,INCHES
ERK,M,2,RAIN,1991-01-01 00:00,1991-01-31 00:00,1.65,,INCHES
ERK,M,2,RAIN,1991-02-01 00:00,1991-02-28 00:00,2.75,,INCHES
ERK,M,2,RAIN,1991-03-01 00:00,1991-03-31 00:00,6.94,,INCHES
ERK,M,2,RAIN,1991-04-01 00:00,1991-04-30 00:00,2.52,,INCHES
ERK,M,2,RAIN,1991-05-01 00:00,1991-05-29 00:00,2.16,,INCHES
ERK,M,2,RAIN,1991-06-01 00:00,1991-06-28 00:00,0.26,,INCHES
ERK,M,2,RAIN,1991-07-01 00:00,1991-07-29 00:00,1.13,,INCHES
ERK,M,2,RAIN,1991-08-01 00:00,1991-08-29 00:00,0.37,,INCHES
ERK,M,2,RAIN,1991-09-01 00:00,1991-09-28 00:00,0.0,,INCHES
ERK,M,2,RAIN,1991-10-01 00:00,1991-10-29 00:00,1.06,,INCHES
ERK,M,2,RAIN,1991-11-01 00:00,1991-11-28 00:00,1.95,,INCHES
ERK,M,2,RAIN,1991-12-01 00:00,1991-12-29 00:00,2.36,,INCHES
ERK,M,2,RAIN,1992-01-01 00:00,1992-01-31 00:00,3.99,,INCHES
ERK,M,2,RAIN,1992-02-01 00:00,1992-02-29 00:00,3.8,,INCHES
ERK,M,2,RAIN,1992-03-01 00:00,1992-03-31 00:00,3.51,,INCHES
ERK,M,2,RAIN,1992-04-01 00:00,1992-04-30 00:00,2.42,,INCHES
ERK,M,2,RAIN,1992-05-01 00:00,1992-05-31 00:00,0.06,,INCHES
ERK,M,2,RAIN,1992-06-01 00:00,1992-06-30 00:00,1.27,,INCHES
ERK,M,2,RAIN,1992-07-01 00:00,1992-07-31 00:00,0.25,,INCHES
ERK,M,2,RAIN,1992-08-01 00:00,1992-08-31 00:00,0.01,,INCHES
ERK,M,2,RAIN,1992-09-01 00:00,1992-09-30 00:00,0.33,,INCHES
ERK,M,2,RAIN,1992-10-01 00:00,1992-10-31 00:00,2.08,,INCHES
ERK,M,2,RAIN,1992-11-01 00:00,1992-11-28 00:00,2.21,,INCHES
ERK,M,2,RAIN,1992-12-01 00:00,1992-12-31 00:00,9.33,,INCHES
ERK,M,2,RAIN,1993-01-01 00:00,1993-01-31 00:00,7.15,,INCHES
ERK,M,2,RAIN,1993-02-01 00:00,1993-02-28 00:00,5.93,,INCHES
