Bakersfield, California December Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
194501,43.5
194502,50.8
194503,50.6
194504,61.6
194505,66.8
194506,76.1
194507,85.6
194508,80.3
194509,76.3
194510,66.8
194511,53.5
194512,48.9
194601,44.6
194602,49.1
194603,55.0
194604,63.1
194605,67.9
194606,73.8
194607,82.4
194608,81.8
194609,74.8
194610,60.8
194611,49.7
194612,44.5
194701,40.0
194702,51.3
194703,58.5
194704,63.6
194705,73.2
194706,76.1
194707,78.6
194708,77.0
194709,76.9
194710,64.6
194711,49.7
194712,44.1
194801,50.5
194802,48.3
194803,52.3
194804,60.3
194805,64.8
194806,75.3
194807,80.1
194808,77.9
194809,73.9
194810,64.5
194811,52.1
194812,43.6
194901,38.4
194902,46.7
194903,54.1
194904,64.9
194905,67.9
194906,78.2
194907,81.4
194908,76.0
194909,75.4
194910,63.2
194911,58.9
194912,44.4
195001,43.1
195002,52.9
195003,54.4
195004,63.6
195005,69.6
195006,74.2
195007,84.5
195008,80.9
195009,72.8
195010,66.1
195011,58.5
195012,50.5
195101,45.9
195102,50.9
195103,55.7
195104,62.2
195105,69.7
195106,76.6
195107,81.0
195108,79.4
195109,75.9
195110,63.1
195111,54.7
195112,44.7
195201,45.1
195202,50.7
195203,50.2
195204,60.8
195205,70.5
195206,70.0
195207,82.5
195208,79.8
195209,75.7
195210,68.3
195211,51.6
195212,47.2
195301,49.7
195302,48.9
195303,54.1
195304,59.3
195305,62.7
195306,70.7
195307,83.5
195308,75.5
195309,75.2
195310,63.4
195311,54.2
195312,45.2
195401,46.5
195402,50.2
195403,53.3
195404,64.8
195405,70.9
195406,72.8
195407,82.4
195408,75.5
195409,72.3
195410,64.2
195411,52.3
195412,43.8
195501,42.2
195502,47.7
195503,55.0
195504,56.3
195505,67.3
195506,73.3
195507,77.5
195508,81.4
195509,75.2
195510,65.5
195511,51.1
195512,50.0
195601,48.7
195602,45.3
195603,54.6
195604,60.1
195605,68.2
195606,75.5
195607,80.9
195608,76.6
195609,75.1
195610,61.6
195611,54.1
195612,44.8
195701,42.2
195702,53.0
195703,55.5
195704,61.0
195705,65.8
195706,78.8
195707,81.2
195708,77.6
195709,75.1
195710,62.4
195711,52.0
195712,45.1
195801,45.9
195802,54.5
195803,51.6
195804,60.0
195805,70.7
195806,74.0
195807,81.1
195808,84.4
195809,75.5
195810,70.2
195811,54.8
195812,51.1
195901,50.3
195902,50.4
195903,59.1
195904,66.9
195905,65.7
195906,78.2
195907,85.2
195908,79.8
195909,73.0
195910,67.5
195911,56.6
195912,47.9
196001,47.5
196002,50.5
196003,58.2
196004,61.1
196005,67.3
196006,82.3
196007,84.7
196008,80.2
196009,76.5
196010,64.3
196011,52.5
196012,44.1
196101,42.3
196102,52.9
196103,53.9
196104,62.8
196105,64.5
196106,80.7
196107,83.9
196108,82.1
196109,73.0
196110,65.0
196111,52.6
196112,43.9
196201,41.2
196202,48.3
196203,52.1
196204,64.4
196205,64.6
196206,76.4
196207,81.4
196208,79.1
196209,74.5
196210,64.7
196211,55.8
196212,48.0
196301,42.7
196302,56.6
196303,53.7
196304,55.9
196305,68.2
196306,74.1
196307,78.9
196308,78.7
196309,76.4
196310,66.3
196311,53.3
196312,40.1
196401,45.1
196402,49.7
196403,53.4
196404,60.6
196405,66.2
196406,75.5
196407,82.7
196408,81.3
196409,72.6
196410,69.7
196411,49.8
196412,49.4
196501,45.9
196502,49.0
196503,55.7
196504,60.5
196505,67.9
196506,72.0
196507,80.6
196508,81.0
196509,70.9
196510,68.2
196511,55.9
196512,41.5
196601,45.4
196602,47.7
196603,56.2
196604,65.9
196605,71.2
196606,76.6
196607,80.0
196608,83.4
196609,73.4
196610,65.7
196611,56.3
196612,44.9
196701,45.2
196702,48.4
196703,54.8
196704,51.3
196705,69.1
196706,73.7
196707,84.9
196708,85.6
196709,77.0
196710,66.7
196711,58.3
196712,43.2
196801,44.7
196802,55.2
196803,57.5
196804,61.6
196805,67.7
196806,77.9
196807,83.3
196808,76.9
196809,73.9
196810,64.4
196811,53.2
196812,45.2
196901,45.7
196902,49.0
196903,54.6
196904,61.5
196905,72.2
196906,74.7
196907,84.3
196908,84.1
196909,78.8
196910,62.6
196911,56.3
196912,49.0
197001,51.9
197002,54.2
197003,56.7
197004,57.9
197005,71.9
197006,78.2
197007,86.2
197008,82.8
197009,75.5
197010,65.4
197011,57.0
197012,47.0
197101,45.6
197102,47.7
197103,55.7
197104,59.8
197105,65.8
197106,75.6
197107,85.0
197108,84.0
197109,74.6
197110,62.1
197111,51.7
197112,43.4
197201,39.6
197202,52.9
197203,61.3
197204,61.4
197205,70.4
197206,78.3
197207,83.0
197208,80.8
197209,72.1
197210,64.7
197211,50.3
197212,41.5
197301,45.9
197302,53.5
197303,51.1
197304,61.6
197305,73.6
197306,79.6
197307,81.9
197308,81.1
197309,73.2
197310,65.7
197311,53.3
197312,46.8
197401,48.1
197402,49.4
197403,55.8
197404,60.6
197405,70.0
197406,78.4
197407,82.6
197408,81.4
197409,79.8
197410,67.3
197411,53.5
197412,43.5
197501,43.5
197502,51.2
197503,53.9
197504,55.6
197505,70.3
197506,77.8
197507,81.1
197508,79.8
197509,79.4
197510,63.4
197511,51.4
197512,44.8
197601,46.6
197602,52.3
197603,54.2
197604,58.1
197605,72.1
197606,76.5
197607,82.3
197608,75.9
197609,75.1
197610,67.8
197611,56.2
197612,47.9
197701,43.5
197702,53.7
197703,51.0
197704,64.4
197705,64.0
197706,80.7
197707,82.5
197708,82.0
197709,75.7
197710,68.0
197711,56.3
197712,53.9
197801,51.6
197802,53.0
197803,59.3
197804,58.1
197805,69.9
197806,76.7
197807,82.7
197808,81.8
197809,73.5
197810,72.0
197811,54.0
197812,42.9
197901,48.3
197902,49.9
197903,56.3
197904,60.4
197905,71.5
197906,78.2
197907,81.4
197908,79.0
197909,78.7
197910,67.7
197911,55.2
197912,50.0
198001,51.3
198002,54.1
198003,53.7
198004,61.1
198005,65.9
198006,72.4
198007,83.5
198008,81.0
198009,75.8
198010,70.0
198011,56.1
198012,48.6
198101,50.3
198102,53.1
198103,55.4
198104,63.7
198105,70.6
198106,82.9
198107,85.1
198108,83.5
198109,78.7
198110,63.4
198111,58.0
198112,49.8
198201,44.2
198202,54.0
198203,56.3
198204,62.7
198205,74.6
198206,77.4
198207,85.6
198208,83.2
198209,75.5
198210,67.2
198211,51.7
198212,46.4
198301,45.1
198302,53.7
198303,56.8
