California December Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
194501,42.4
194502,45.4
194503,44.6
194504,53.8
194505,59.5
194506,67.6
194507,76.6
194508,73.3
194509,69.8
194510,61.0
194511,48.3
194512,42.8
194601,42.1
194602,42.4
194603,48.0
194604,56.3
194605,61.0
194606,67.5
194607,74.6
194608,74.4
194609,68.6
194610,55.3
194611,46.2
194612,44.2
194701,40.2
194702,48.0
194703,51.3
194704,56.2
194705,65.0
194706,67.5
194707,72.7
194708,71.5
194709,70.8
194710,59.4
194711,46.0
194712,42.0
194801,45.4
194802,42.4
194803,44.5
194804,51.5
194805,58.2
194806,67.2
194807,72.7
194808,71.9
194809,68.3
194810,59.3
194811,47.8
194812,38.6
194901,32.2
194902,39.6
194903,46.3
194904,57.3
194905,60.5
194906,69.7
194907,74.0
194908,71.5
194909,70.2
194910,57.4
194911,54.7
194912,41.2
195001,37.6
195002,46.2
195003,48.4
195004,56.3
195005,60.9
195006,67.0
195007,75.8
195008,74.4
195009,67.7
195010,61.4
195011,53.6
195012,48.2
195101,42.2
195102,44.5
195103,48.1
195104,55.1
195105,61.3
195106,68.5
195107,74.7
195108,73.1
195109,70.7
195110,58.6
195111,49.1
195112,40.8
195201,38.7
195202,44.0
195203,43.6
195204,54.4
195205,63.0
195206,64.3
195207,75.6
195208,74.3
195209,70.6
195210,63.7
195211,46.7
195212,42.2
195301,47.0
195302,45.3
195303,48.1
195304,52.7
195305,55.4
195306,64.5
195307,76.2
195308,71.8
195309,71.0
195310,58.9
195311,51.2
195312,44.0
195401,42.7
195402,48.7
195403,46.0
195404,57.5
195405,63.6
195406,66.4
195407,75.8
195408,70.4
195409,67.4
195410,59.3
195411,51.3
195412,41.8
195501,38.0
195502,41.7
195503,48.0
195504,49.6
195505,59.6
195506,67.2
195507,71.7
195508,74.9
195509,69.3
195510,61.0
195511,48.4
195512,45.1
195601,44.4
195602,40.7
195603,49.0
195604,53.2
195605,60.8
195606,68.7
195607,74.1
195608,71.4
195609,70.2
195610,57.4
195611,49.8
195612,43.9
195701,38.7
195702,48.1
195703,49.7
195704,54.0
195705,58.9
195706,71.3
195707,74.7
195708,72.1
195709,69.3
195710,56.7
195711,47.2
195712,44.4
195801,44.0
195802,48.4
195803,44.7
195804,53.2
195805,64.1
195806,67.9
195807,74.3
195808,77.1
195809,70.4
195810,63.6
195811,50.5
195812,48.5
195901,45.7
195902,43.5
195903,52.1
195904,58.8
195905,59.3
195906,71.0
195907,78.1
195908,73.7
195909,67.2
195910,62.1
195911,51.7
195912,44.2
196001,40.3
196002,44.0
196003,51.9
196004,54.8
196005,60.1
196006,73.1
196007,77.2
196008,73.9
196009,70.8
196010,59.3
196011,48.2
196012,43.0
196101,44.3
196102,47.3
196103,48.2
196104,55.4
196105,58.5
196106,72.4
196107,76.8
196108,75.3
196109,66.6
196110,59.4
196111,47.6
196112,41.9
196201,41.3
196202,43.6
196203,45.0
196204,58.2
196205,58.0
196206,68.2
196207,73.8
196208,73.8
196209,69.6
196210,59.8
196211,51.7
196212,45.5
196301,40.5
196302,52.0
196303,47.1
196304,49.0
196305,61.4
196306,65.8
196307,72.4
196308,72.8
196309,70.7
196310,61.0
196311,49.2
196312,43.1
196401,41.0
196402,44.0
196403,46.2
196404,52.5
196405,58.2
196406,66.3
196407,74.8
196408,74.0
196409,66.9
196410,63.8
196411,46.1
196412,45.0
196501,43.6
196502,45.7
196503,48.4
196504,52.8
196505,59.3
196506,64.7
196507,73.3
196508,73.7
196509,64.6
196510,63.0
196511,50.7
196512,40.6
196601,40.8
196602,42.1
196603,49.9
196604,57.8
196605,63.8
196606,68.8
196607,72.9
196608,75.8
196609,69.0
196610,60.4
196611,51.0
196612,43.8
196701,43.5
196702,46.6
196703,48.0
196704,44.9
196705,60.8
196706,66.1
196707,76.8
196708,77.8
196709,70.8
196710,61.6
196711,53.4
196712,39.6
196801,41.7
196802,50.1
196803,50.4
196804,54.0
196805,60.5
196806,70.0
196807,75.4
196808,70.9
196809,69.1
196810,59.4
196811,49.6
196812,40.0
196901,42.8
196902,41.5
196903,47.0
196904,53.4
196905,63.7
196906,66.8
196907,75.2
196908,76.1
196909,70.9
196910,56.4
196911,51.0
196912,45.1
197001,44.7
197002,48.3
197003,49.4
197004,49.9
197005,62.7
197006,69.4
197007,76.5
197008,75.1
197009,67.7
197010,58.0
197011,50.9
197012,41.2
197101,42.8
197102,45.1
197103,48.0
197104,51.8
197105,57.3
197106,66.8
197107,75.7
197108,76.0
197109,68.5
197110,55.9
197111,47.9
197112,38.7
197201,39.9
197202,46.9
197203,54.4
197204,53.8
197205,62.2
197206,69.8
197207,76.5
197208,74.0
197209,66.6
197210,57.3
197211,46.7
197212,39.0
197301,40.2
197302,45.8
197303,44.9
197304,53.9
197305,64.3
197306,71.0
197307,75.1
197308,73.3
197309,67.5
197310,58.9
197311,47.9
197312,44.8
197401,41.5
197402,44.4
197403,49.3
197404,52.5
197405,61.4
197406,70.8
197407,74.2
197408,73.7
197409,71.8
197410,60.5
197411,49.5
197412,42.0
197501,42.5
197502,43.8
197503,46.0
197504,47.1
197505,60.8
197506,68.0
197507,73.8
197508,72.1
197509,71.0
197510,57.5
197511,47.9
197512,44.7
197601,44.4
197602,46.0
197603,47.3
197604,50.8
197605,63.2
197606,67.9
197607,74.7
197608,69.8
197609,68.0
197610,60.6
197611,53.1
197612,43.9
197701,41.3
197702,48.8
197703,45.3
197704,56.6
197705,54.8
197706,71.4
197707,74.8
197708,75.0
197709,67.8
197710,61.2
197711,51.3
197712,47.4
197801,45.4
197802,46.5
197803,52.6
197804,51.5
197805,61.1
197806,69.0
197807,74.8
197808,73.8
197809,66.7
197810,63.7
197811,47.0
197812,39.2
197901,40.1
197902,43.4
197903,49.2
197904,53.6
197905,62.5
197906,69.6
197907,74.5
197908,71.9
197909,72.2
197910,61.1
197911,48.2
197912,45.7
198001,45.9
198002,48.8
198003,47.3
198004,54.5
198005,58.2
198006,65.5
198007,75.4
198008,73.0
198009,68.6
198010,61.4
198011,51.2
198012,47.1
198101,46.7
198102,47.7
198103,48.7
198104,56.5
198105,61.9
198106,73.2
198107,75.5
198108,75.8
198109,70.4
198110,56.7
198111,51.8
198112,46.7
198201,40.4
198202,46.9
198203,46.8
198204,52.1
198205,61.8
198206,66.4
198207,73.1
198208,73.9
198209,67.1
198210,58.4
198211,46.7
198212,42.5
198301,44.2
198302,46.8
198303,48.6
198304,49.8
198305,61.3
198306,67.5
198307,71.9
198308,73.7
198309,71.0
198310,61.4
198311,49.2
198312,45.2
198401,45.4
198402,46.1
198403,52.0
198404,52.9
198405,65.3
198406,68.2
198407,77.0
198408,74.9
198409,72.2
198410,56.2
198411,47.6
198412,40.8
198501,41.7
198502,45.2
198503,46.4
198504,58.2
198505,61.2
198506,72.3
198507,77.2
198508,73.0
198509,64.4
198510,58.9
198511,46.0
198512,43.4
198601,48.8
198602,48.8
198603,53.6
198604,54.6
198605,62.2
198606,71.2
198607,72.9
198608,76.0
198609,63.5
198610,59.1
198611,51.7
198612,44.1
198701,41.4
198702,46.2
198703,48.6
198704,59.3
198705,63.5
198706,71.0
198707,70.9
198708,74.3
198709,69.8
198710,64.0
198711,49.4
198712,40.9
198801,42.7
198802,48.5
198803,51.6
198804,55.2
198805,60.3
198806,68.2
198807,77.6
198808,74.6
198809,69.4
198810,64.6
198811,49.8
198812,42.5
198901,40.9
198902,42.7
198903,51.8
198904,60.0
198905,61.4
198906,69.5
198907,75.3
198908,72.1
198909,68.1
198910,58.9
198911,51.8
198912,44.8
199001,43.1
199002,42.7
199003,51.4
199004,58.4
199005,60.2
199006,69.4
199007,76.4
199008,73.7
199009,69.9
199010,62.0
199011,50.0
199012,38.4
199101,43.6
199102,51.5
199103,44.8
199104,52.7
199105,57.9
199106,66.2
199107,75.4
199108,73.2
199109,72.2
199110,64.5
199111,51.6
199112,44.0
199201,43.2
199202,49.1
199203,50.8
199204,58.9
199205,67.0
199206,69.0
199207,73.8
199208,76.2
199209,70.8
199210,62.6
199211,49.5
199212,40.3
199301,41.3
199302,44.0
199303,52.9
199304,55.2
199305,62.3
199306,68.0
199307,72.2
199308,73.2
199309,69.5
199310,61.4
199311,48.8
199312,43.1
199401,45.7
199402,43.7
199403,52.9
199404,55.9
199405,61.3
199406,70.9
199407,76.5
199408,75.8
199409,69.8
199410,58.6
199411,42.9
199412,42.1
199501,44.7
199502,51.3
199503,48.9
199504,52.9
199505,58.4
199506,66.1
199507,74.2
199508,75.0
199509,71.2
199510,62.2
199511,55.9
199512,46.4
199601,45.6
199602,48.8
199603,51.5
199604,56.8
199605,62.5
199606,70.4
199607,78.1
199608,76.7
199609,68.4
199610,59.2
199611,51.1
199612,45.6
199701,44.5
199702,46.6
199703,54.0
199704,55.6
199705,67.6
199706,68.4
199707,74.0
199708,74.9
199709,70.8
199710,59.0
199711,51.6
199712,42.4
199801,45.1
199802,43.6
199803,49.2
199804,51.6
199805,54.9
199806,65.2
199807,76.0
199808,77.2
199809,69.2
199810,57.7
199811,48.8
199812,42.0
199901,45.0
199902,44.9
199903,47.5
199904,51.3
199905,60.4
199906,67.8
