Death Valley, California December Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
196105,84.8
196106,100.2
196107,104.8
196108,100.2
196109,88.1
196110,75.9
196111,59.5
196112,50.7
196201,54.4
196202,59.9
196203,63.9
196204,82.3
196205,83.8
196206,95.8
196207,100.7
196208,100.3
196209,92.8
196210,79.8
196211,64.7
196212,53.0
196301,49.0
196302,67.2
196303,66.6
196304,72.6
196305,88.0
196306,91.1
196307,101.2
196308,98.7
196309,90.5
196310,81.1
196311,63.3
196312,51.6
196401,51.3
196402,58.8
196403,65.2
196404,75.3
196405,84.0
196406,93.3
196407,102.0
196408,99.8
196409,90.4
196410,82.6
196411,58.7
196412,55.1
196501,56.1
196502,61.7
196503,67.0
196504,73.9
196505,84.6
196506,92.0
196507,99.8
196508,99.3
196509,86.3
196510,79.6
196511,63.6
196512,50.5
196601,50.8
196602,56.5
196603,68.3
196604,80.1
196605,89.8
196606,96.2
196607,101.2
196608,101.7
196609,91.7
196610,77.2
196611,64.4
196612,55.5
196701,54.8
196702,63.5
196703,71.7
196704,67.4
196705,86.0
196706,92.4
196707,104.3
196708,104.1
196709,92.2
196710,79.3
196711,66.2
196712,50.7
196801,52.3
196802,64.5
196803,69.4
196804,75.4
196805,86.2
196806,97.5
196807,101.6
196808,96.4
196809,91.9
196810,78.5
196811,65.8
196812,48.7
196901,55.8
196902,56.8
196903,65.2
196904,77.5
196905,89.3
196906,92.7
196907,102.2
196908,103.7
196909,94.0
196910,74.1
196911,63.9
196912,53.4
197001,53.1
197002,62.4
197003,67.8
197004,72.1
197005,87.8
197006,96.4
197007,103.9
197008,103.5
197009,89.3
197010,75.4
197011,63.5
197012,52.7
197101,53.6
197102,61.6
197103,67.6
197104,75.5
197105,82.4
197106,94.9
197107,104.2
197108,104.8
197109,91.3
197110,74.2
197111,61.3
197112,52.3
197201,50.8
197202,60.2
197203,75.7
197204,77.0
197205,87.2
197206,95.9
197207,104.1
197208,98.9
197209,88.8
197210,74.9
197211,60.0
197212,50.0
197301,50.9
197302,61.1
197303,64.0
197304,75.5
197305,90.1
197306,98.3
197307,103.4
197308,100.3
197309,89.7
197310,77.3
197311,61.1
197312,54.3
197401,51.6
197402,60.0
197403,70.3
197404,76.2
197405,88.9
197406,99.0
197407,101.8
197408,98.2
197409,95.5
197410,78.7
197411,62.3
197412,52.9
197501,52.6
197502,61.0
197503,66.7
197504,70.6
197505,85.5
197506,96.2
197507,101.5
197508,98.2
197509,92.5
197510,77.0
197511,61.7
197512,56.8
197601,55.9
197602,61.7
197603,66.8
197604,74.7
197605,89.0
197606,94.8
197607,101.7
197608,94.9
197609,88.8
197610,77.7
197611,64.6
197612,49.9
197701,53.6
197702,64.3
197703,64.9
197704,80.8
197705,78.5
197706,99.5
197707,102.4
197708,99.4
197709,89.9
197710,80.5
197711,65.3
197712,59.1
197801,55.9
197802,61.1
197803,71.4
197804,74.5
197805,85.5
197806,96.5
197807,101.6
197808,99.8
197809,88.7
197810,82.2
197811,60.9
197812,49.6
197901,49.3
197902,58.2
197903,67.9
197904,77.2
197905,88.4
197906,95.1
197907,101.4
197908,96.7
197909,95.5
197910,80.5
197911,61.8
197912,55.1
198001,59.9
198002,64.3
198003,66.8
198004,77.1
198005,82.3
198006,93.3
198007,103.3
198008,100.7
198009,91.3
198010,79.4
198011,63.3
198012,58.1
198101,59.0
198102,63.7
198103,69.6
198104,81.8
198105,88.2
198106,100.9
198107,103.9
198108,101.8
198109,94.2
198110,75.8
198111,66.9
198112,55.5
198201,54.2
198202,61.4
198203,66.0
198204,75.9
198205,87.7
198206,93.3
198207,98.7
198208,99.4
198209,88.5
198210,75.0
198211,60.2
198212,53.5
198301,54.3
198302,60.7
198303,66.7
198304,71.6
198305,85.1
198306,94.9
198307,98.8
198308,97.1
198309,93.9
198310,79.1
198311,65.7
198312,54.7
198401,57.6
198402,61.3
198403,69.8
198404,75.1
198405,91.6
198406,94.9
198407,101.2
198408,98.3
198409,93.5
198410,73.4
198411,61.3
198412,51.0
198501,53.8
198502,58.5
198503,66.7
198504,80.4
198505,87.6
198506,99.0
198507,104.1
198508,98.9
198509,86.0
198510,76.7
198511,59.7
198512,53.9
198601,58.2
198602,64.1
198603,74.3
198604,77.9
198605,88.9
198606,98.9
198607,99.3
198608,103.4
198609,86.9
198610,74.7
198611,67.0
198612,53.8
198701,54.1
198702,64.5
198703,67.4
198704,81.1
198705,86.7
198706,97.1
198707,98.0
198708,101.0
198709,93.2
198710,82.5
198711,64.8
198712,50.6
198801,51.8
198802,63.2
198803,71.0
198804,75.6
198805,85.2
198806,94.3
198807,104.9
198808,100.2
198809,90.9
198810,84.3
198811,65.1
198812,54.8
198901,52.6
198902,59.9
198903,72.8
198904,85.1
198905,86.9
198906,97.2
198907,104.3
198908,98.8
198909,90.1
198910,77.0
198911,64.9
198912,53.7
199001,54.1
199002,58.5
199003,71.7
199004,81.1
199005,86.0
199006,96.9
199007,103.9
199008,99.7
199009,93.4
199010,77.3
199011,61.2
199012,48.2
199101,51.2
199102,65.0
199103,63.4
199104,74.9
199105,81.6
199106,92.1
199107,101.0
199108,99.9
199109,94.0
199110,83.3
199111,64.4
199112,54.3
199201,52.9
199202,63.2
199203,69.2
199204,81.8
199205,92.4
199206,95.7
199207,99.2
199208,102.2
199209,92.2
199210,81.7
199211,62.2
199212,50.8
199301,51.0
199302,59.5
199303,69.9
199304,79.2
199305,88.9
199306,92.8
199307,100.6
199308,100.2
199309,90.8
199310,79.6
199311,60.4
199312,53.5
199401,55.6
199402,58.1
199403,74.7
199404,79.2
199405,86.8
199406,100.4
199407,105.2
199408,103.8
199409,91.6
199410,76.2
199411,55.5
199412,54.0
199501,54.8
199502,67.5
199503,67.6
199504,75.0
199505,81.7
199506,93.1
199507,102.7
199508,101.4
199509,94.6
199510,79.3
199511,68.3
199512,56.4
199601,56.9
199602,65.4
199603,70.2
199604,79.9
199605,88.8
199606,98.0
199607,106.9
199608,102.9
199609,91.5
199610,76.9
199611,63.5
199612,54.7
199701,57.6
199702,63.3
199703,72.3
199704,77.9
199705,93.6
199706,96.1
199707,100.1
199708,102.4
199709,92.4
199710,76.3
199711,63.6
199712,53.0
199801,55.0
199802,57.8
199803,66.8
199804,72.1
199805,79.3
199806,90.4
199807,103.8
199808,102.7
199809,89.8
199810,75.3
199811,62.3
199812,53.3
199901,57.5
199902,62.4
199903,69.6
199904,71.2
199905,86.6
199906,94.9
199907,101.3
