Eureka, California December Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
194501,46.8
194502,46.8
194503,45.4
194504,46.0
194505,51.7
194506,53.7
194507,54.8
194508,53.7
194509,53.2
194510,51.5
194511,49.2
194512,48.3
194601,44.6
194602,44.8
194603,45.4
194604,48.2
194605,50.5
194606,55.0
194607,56.4
194608,54.0
194609,54.7
194610,50.2
194611,47.7
194612,46.8
194701,42.8
194702,48.5
194703,48.9
194704,50.5
194705,52.1
194706,54.7
194707,58.3
194708,56.4
194709,55.7
194710,55.3
194711,47.2
194712,46.3
194801,45.6
194802,43.5
194803,44.9
194804,46.8
194805,50.2
194806,54.1
194807,54.6
194808,56.1
194809,53.3
194810,51.7
194811,45.8
194812,42.2
194901,38.5
194902,43.7
194903,48.0
194904,48.8
194905,51.8
194906,52.2
194907,53.0
194908,56.8
194909,54.7
194910,48.8
194911,52.6
194912,43.8
195001,41.5
195002,45.9
195003,46.2
195004,47.3
195005,47.9
195006,52.5
195007,53.6
195008,55.5
195009,53.7
195010,55.2
195011,52.8
195012,51.9
195101,45.1
195102,46.7
195103,43.8
195104,47.2
195105,51.1
195106,51.3
195107,53.9
195108,53.6
195109,53.3
195110,53.2
195111,50.1
195112,44.7
195201,43.2
195202,45.3
195203,43.4
195204,47.8
195205,50.8
195206,51.9
195207,53.5
195208,54.1
195209,53.8
195210,52.5
195211,47.7
195212,46.4
195301,49.2
195302,45.4
195303,45.4
195304,47.0
195305,50.2
195306,52.3
195307,53.2
195308,56.9
195309,56.4
195310,52.6
195311,51.8
195312,46.4
195401,45.2
195402,46.5
195403,45.4
195404,48.5
195405,49.7
195406,52.7
195407,53.8
195408,54.9
195409,55.7
195410,52.1
195411,51.6
195412,46.4
195501,42.4
195502,42.7
195503,43.9
195504,45.1
195505,48.3
195506,51.1
195507,53.6
195508,51.6
195509,53.0
195510,50.5
195511,47.9
195512,48.3
195601,47.3
195602,43.1
195603,45.6
195604,47.7
195605,51.4
195606,53.2
195607,53.9
195608,55.0
195609,54.6
195610,51.6
195611,46.6
195612,44.4
195701,41.4
195702,47.2
195703,48.1
195704,48.8
195705,52.9
195706,55.4
195707,54.9
195708,56.5
195709,57.5
195710,54.4
195711,49.6
195712,48.0
195801,49.4
195802,52.1
195803,45.9
195804,49.5
195805,53.4
195806,57.5
195807,55.7
195808,55.9
195809,57.3
195810,52.7
195811,50.6
195812,50.6
195901,48.3
195902,45.5
195903,47.5
195904,48.7
195905,50.4
195906,54.2
195907,54.1
195908,54.3
195909,56.0
195910,53.8
195911,48.7
195912,45.7
196001,46.6
196002,46.6
196003,48.6
196004,49.0
196005,51.5
196006,52.7
196007,52.5
196008,53.5
196009,51.8
196010,52.8
196011,49.3
196012,47.0
196101,48.7
196102,48.4
196103,47.9
196104,47.4
196105,50.7
196106,54.6
196107,54.9
196108,55.3
196109,53.5
196110,50.7
196111,47.7
196112,44.6
196201,43.4
196202,45.8
196203,46.3
196204,48.6
196205,50.4
196206,51.3
196207,52.0
196208,55.9
196209,55.3
196210,52.8
196211,50.5
196212,47.9
196301,44.2
196302,53.5
196303,47.3
196304,48.3
196305,52.1
196306,52.6
196307,55.4
196308,55.3
196309,57.5
196310,55.1
196311,50.7
196312,48.3
196401,44.8
196402,45.2
196403,43.9
196404,45.3
196405,48.5
196406,53.0
196407,54.7
196408,55.2
196409,53.4
196410,53.1
196411,48.1
196412,46.7
196501,45.4
196502,43.9
196503,46.7
196504,48.3
196505,48.1
196506,50.1
196507,53.0
196508,57.1
196509,52.1
196510,53.9
196511,52.8
196512,45.2
196601,45.9
196602,44.7
196603,46.2
196604,48.5
196605,48.6
196606,53.7
196607,54.8
196608,54.1
196609,56.1
196610,51.4
196611,50.7
196612,47.7
196701,45.5
196702,45.8
196703,44.9
196704,44.4
196705,50.0
196706,52.7
196707,54.7
196708,55.0
196709,57.3
196710,55.1
196711,51.5
196712,43.3
196801,44.8
196802,51.4
196803,48.8
196804,46.3
196805,50.6
196806,53.6
196807,54.5
196808,57.5
196809,55.6
196810,51.5
196811,50.0
196812,44.7
196901,42.2
196902,44.3
196903,46.5
196904,48.0
196905,51.6
196906,54.8
196907,53.8
196908,54.0
196909,54.7
196910,53.4
196911,49.5
196912,49.4
197001,50.3
197002,49.6
197003,48.1
197004,45.6
197005,50.5
197006,52.4
197007,53.0
197008,53.5
197009,53.8
197010,50.7
197011,51.7
197012,45.6
197101,43.9
197102,44.4
197103,45.3
197104,46.2
197105,48.8
197106,52.4
197107,53.3
197108,58.1
197109,54.9
197110,48.8
197111,47.6
197112,43.1
197201,42.8
197202,47.2
197203,49.4
197204,47.2
197205,49.3
197206,52.8
197207,56.0
197208,56.4
197209,54.0
197210,52.4
197211,50.0
197212,43.9
197301,45.4
197302,48.8
197303,45.6
197304,48.3
197305,50.2
197306,53.2
197307,53.8
197308,53.0
197309,55.3
197310,50.3
197311,49.6
197312,49.4
197401,44.9
197402,44.2
197403,48.2
197404,47.8
197405,49.3
197406,52.2
197407,55.8
197408,55.9
197409,53.8
197410,51.4
197411,49.4
197412,46.9
197501,44.0
197502,46.2
197503,45.8
197504,44.7
197505,49.5
197506,51.3
197507,55.1
197508,53.5
197509,53.4
197510,52.3
197511,46.7
197512,45.6
197601,44.6
197602,45.1
197603,43.8
197604,46.6
197605,49.3
197606,50.9
197607,55.7
197608,56.0
197609,54.3
197610,52.5
197611,50.4
197612,45.6
197701,45.6
197702,48.7
197703,44.3
197704,47.4
197705,49.6
197706,52.3
197707,53.3
197708,56.5
197709,55.3
197710,51.9
197711,49.4
197712,49.2
197801,50.0
197802,48.5
197803,51.7
197804,49.2
197805,51.4
197806,54.1
197807,54.1
197808,55.2
197809,55.7
197810,53.1
197811,46.2
197812,41.5
197901,44.8
197902,46.2
197903,48.1
197904,49.1
197905,50.9
197906,52.1
197907,55.6
197908,56.9
197909,59.7
197910,54.8
197911,49.9
197912,49.3
198001,45.8
198002,51.0
198003,46.1
198004,49.4
198005,49.8
198006,53.0
198007,54.9
198008,52.6
198009,54.1
198010,51.8
198011,48.8
198012,48.7
198101,50.0
198102,48.8
198103,47.7
198104,48.1
198105,50.8
198106,54.0
198107,52.7
198108,55.7
198109,55.5
198110,50.3
198111,49.5
198112,48.1
198201,40.9
198202,45.4
198203,44.3
198204,46.7
198205,48.7
198206,52.3
198207,54.2
198208,55.5
198209,54.6
198210,53.3
198211,48.1
198212,45.6
198301,47.3
198302,49.4
198303,49.3
