Fresno, California December Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
194801,50.4
194802,48.2
194803,52.1
194804,59.1
194805,64.5
194806,74.6
194807,79.0
194808,77.8
194809,74.4
194810,64.0
194811,51.2
194812,43.5
194901,38.0
194902,45.9
194903,53.4
194904,64.2
194905,67.7
194906,77.8
194907,81.1
194908,76.8
194909,76.1
194910,62.6
194911,58.1
194912,44.9
195001,43.5
195002,52.5
195003,54.2
195004,63.9
195005,69.5
195006,73.8
195007,83.5
195008,80.3
195009,73.1
195010,66.8
195011,58.8
195012,51.7
195101,46.3
195102,50.9
195103,54.4
195104,62.0
195105,69.4
195106,75.2
195107,80.3
195108,78.9
195109,75.8
195110,64.0
195111,56.2
195112,45.6
195201,46.0
195202,50.8
195203,50.7
195204,61.5
195205,70.9
195206,71.2
195207,83.3
195208,79.8
195209,76.7
195210,69.0
195211,52.9
195212,47.5
195301,50.6
195302,49.6
195303,54.8
195304,60.1
195305,62.9
195306,71.6
195307,83.9
195308,76.9
195309,76.4
195310,63.2
195311,55.4
195312,46.1
195401,47.1
195402,50.6
195403,52.6
195404,64.9
195405,70.8
195406,72.7
195407,82.5
195408,75.6
195409,72.1
195410,64.5
195411,53.1
195412,44.5
195501,42.4
195502,48.0
195503,54.8
195504,55.8
195505,66.7
195506,73.3
195507,77.3
195508,81.1
195509,75.5
195510,65.8
195511,51.2
195512,50.9
195601,48.9
195602,46.4
195603,54.6
195604,60.5
195605,67.9
195606,75.3
195607,80.9
195608,77.0
195609,75.3
195610,62.3
195611,53.9
195612,45.3
195701,43.3
195702,54.3
195703,55.8
195704,61.5
195705,66.2
195706,78.1
195707,81.4
195708,77.5
195709,75.0
195710,63.4
195711,52.6
195712,46.0
195801,47.2
195802,54.7
195803,52.7
195804,60.1
195805,71.0
195806,73.8
195807,80.6
195808,84.3
195809,75.9
195810,70.0
195811,55.1
195812,50.4
195901,49.8
195902,50.6
195903,58.6
195904,66.5
195905,66.0
195906,77.4
195907,84.3
195908,78.8
195909,72.7
195910,67.4
195911,55.7
195912,47.1
196001,47.7
196002,50.5
196003,57.6
196004,61.0
196005,67.2
196006,81.0
196007,84.0
196008,79.5
196009,76.0
196010,63.9
196011,52.3
196012,44.4
196101,43.7
196102,52.2
196103,54.0
196104,62.0
196105,64.5
196106,79.4
196107,83.2
196108,81.7
196109,73.1
196110,65.0
196111,52.6
196112,44.3
196201,42.1
196202,48.9
196203,52.8
196204,65.4
196205,65.6
196206,76.5
196207,81.6
196208,79.4
196209,75.3
196210,64.6
196211,55.8
196212,48.0
196301,42.9
196302,57.0
196303,53.9
196304,56.6
196305,68.3
196306,73.8
196307,79.2
196308,78.8
196309,77.2
196310,66.0
196311,52.7
196312,40.6
196401,44.4
196402,48.0
196403,51.9
196404,59.5
196405,65.6
196406,74.0
196407,81.6
196408,79.6
196409,71.6
196410,68.9
196411,51.8
196412,49.6
196501,46.9
196502,50.2
196503,56.1
196504,61.4
196505,68.1
196506,72.0
196507,79.5
196508,79.4
196509,69.2
196510,66.4
196511,55.3
196512,42.6
196601,44.0
196602,47.8
196603,56.9
196604,66.1
196605,71.5
196606,76.9
196607,78.8
196608,81.6
196609,73.5
196610,65.4
196611,57.5
196612,45.8
196701,46.7
196702,49.5
196703,55.0
196704,53.2
196705,69.4
196706,74.9
196707,84.4
196708,84.2
196709,78.0
196710,66.6
196711,57.4
196712,43.2
196801,45.4
196802,56.4
196803,56.5
196804,62.1
196805,68.7
196806,78.6
196807,83.0
196808,77.8
196809,74.3
196810,64.0
196811,52.5
196812,44.0
196901,45.4
196902,48.2
196903,53.7
196904,60.3
196905,71.0
196906,73.5
196907,81.6
196908,80.3
196909,76.4
196910,60.3
196911,53.8
196912,46.9
197001,49.7
197002,53.3
197003,56.0
197004,57.6
197005,71.5
197006,77.1
197007,83.9
197008,80.5
197009,73.6
197010,64.1
197011,56.0
197012,47.0
197101,46.3
197102,48.2
197103,55.0
197104,59.7
197105,64.8
197106,75.1
197107,82.5
197108,81.7
197109,74.0
197110,61.5
197111,51.3
197112,43.2
197201,40.8
197202,52.7
197203,61.0
197204,61.3
197205,70.2
197206,77.8
197207,81.8
197208,80.0
197209,72.0
197210,62.9
197211,50.4
197212,41.2
197301,45.3
197302,52.2
197303,50.6
197304,61.4
197305,73.2
197306,78.9
197307,80.6
197308,78.7
197309,72.3
197310,63.5
197311,53.2
197312,47.5
197401,48.2
197402,49.4
197403,56.6
197404,60.3
197405,69.7
197406,77.9
197407,81.5
197408,79.6
197409,77.7
197410,66.3
197411,53.4
197412,44.8
197501,43.7
197502,50.1
197503,53.0
197504,55.2
197505,69.4
197506,76.0
197507,80.5
197508,77.8
197509,77.2
197510,63.4
197511,51.3
197512,45.3
197601,46.4
197602,51.9
197603,54.1
197604,58.3
197605,71.2
197606,75.5
197607,81.2
197608,74.7
197609,75.1
197610,67.1
197611,55.9
197612,46.1
197701,44.0
197702,53.2
197703,52.1
197704,65.1
197705,63.3
197706,79.5
197707,81.2
197708,80.3
197709,73.7
197710,66.4
197711,54.2
197712,50.9
197801,51.1
197802,52.2
197803,60.0
197804,58.6
197805,69.6
197806,75.9
197807,82.0
197808,81.1
197809,72.6
197810,69.6
197811,51.7
197812,42.5
197901,46.7
197902,51.1
197903,57.0
197904,62.4
197905,70.7
197906,77.6
197907,81.9
197908,79.6
197909,79.1
197910,67.4
197911,53.6
197912,46.5
198001,49.1
198002,53.4
198003,53.3
198004,61.5
198005,66.8
198006,73.3
198007,83.6
198008,80.3
198009,75.2
198010,68.0
198011,53.8
198012,46.5
198101,47.6
198102,51.7
198103,55.6
198104,63.0
198105,70.4
198106,81.3
198107,82.3
198108,79.8
198109,77.2
198110,62.5
198111,56.5
198112,49.0
198201,44.0
198202,52.6
198203,53.9
198204,59.6
198205,70.1
198206,73.8
198207,80.3
198208,79.8
198209,73.6
198210,65.0
198211,50.6
198212,45.9
198301,44.9
198302,53.4
198303,56.1
198304,58.2
198305,69.1
198306,75.4
198307,78.3
198308,82.0
198309,78.4
198310,67.5
198311,55.1
198312,50.9
198401,47.1
198402,50.8
198403,58.6
198404,60.6
198405,73.1
198406,76.2
198407,85.4
198408,82.5
198409,80.3
198410,61.8
198411,53.3
198412,45.6
198501,42.4
198502,50.4
198503,52.2
198504,66.3
198505,68.5
198506,80.9
198507,85.0
198508,79.6
198509,71.4
198510,64.1
198511,51.6
198512,42.9
198601,52.7
198602,54.7
198603,59.4
