Los Angeles, California December Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
194501,53.3
194502,54.8
194503,52.9
194504,57.1
194505,60.2
194506,63.2
194507,67.5
194508,69.4
194509,68.5
194510,64.5
194511,57.1
194512,54.6
194601,54.2
194602,51.4
194603,55.1
194604,58.8
194605,60.2
194606,65.3
194607,68.0
194608,68.3
194609,68.5
194610,61.6
194611,56.6
194612,54.1
194701,51.1
194702,56.9
194703,58.6
194704,60.0
194705,62.0
194706,65.1
194707,67.8
194708,67.6
194709,67.7
194710,63.3
194711,55.8
194712,54.3
194801,53.9
194802,51.8
194803,52.4
194804,58.2
194805,59.8
194806,62.9
194807,65.0
194808,65.9
194809,65.7
194810,61.8
194811,58.0
194812,51.6
194901,45.8
194902,50.2
194903,53.1
194904,59.1
194905,61.1
194906,65.8
194907,66.2
194908,67.2
194909,66.4
194910,61.5
194911,62.1
194912,52.1
195001,47.4
195002,52.4
195003,54.6
195004,58.6
195005,58.6
195006,61.7
195007,67.6
195008,64.7
195009,64.9
195010,63.8
195011,60.2
195012,57.8
195101,52.8
195102,52.2
195103,55.7
195104,57.1
195105,59.2
195106,63.3
195107,67.4
195108,66.2
195109,66.2
195110,64.6
195111,59.6
195112,52.8
195201,51.2
195202,55.7
195203,52.9
195204,57.1
195205,61.1
195206,61.7
195207,64.5
195208,67.1
195209,66.7
195210,62.1
195211,57.0
195212,54.1
195301,57.7
195302,56.2
195303,55.2
195304,56.0
195305,60.8
195306,62.9
195307,69.2
195308,65.6
195309,64.1
195310,64.0
195311,60.2
195312,55.5
195401,52.3
195402,59.6
195403,54.0
195404,57.2
195405,59.8
195406,63.2
195407,70.1
195408,69.0
195409,66.1
195410,60.8
195411,60.7
195412,55.8
195501,50.1
195502,53.4
195503,57.5
195504,57.1
195505,59.2
195506,62.1
195507,65.4
195508,68.7
195509,68.6
195510,60.4
195511,57.7
195512,53.8
195601,52.8
195602,50.9
195603,57.0
195604,56.9
195605,61.2
195606,64.5
195607,66.6
195608,67.4
195609,68.3
195610,63.0
195611,64.1
195612,57.0
195701,52.1
195702,57.3
195703,57.2
195704,57.4
195705,60.5
195706,66.8
195707,69.6
195708,70.1
195709,66.3
195710,63.5
195711,57.4
195712,58.1
195801,56.6
195802,57.5
195803,55.2
195804,61.9
195805,63.7
195806,66.2
195807,67.3
195808,70.7
195809,70.1
195810,69.3
195811,59.5
195812,58.4
195901,57.1
195902,53.9
195903,60.0
195904,61.5
195905,61.4
195906,66.5
195907,71.5
195908,71.2
195909,70.1
195910,65.5
195911,63.0
195912,57.5
196001,52.7
196002,54.7
196003,56.9
196004,60.5
196005,63.2
196006,65.2
196007,68.6
196008,67.7
196009,69.3
196010,63.7
196011,57.6
196012,54.2
196101,58.2
196102,57.2
196103,56.2
196104,58.9
196105,60.1
196106,64.3
196107,70.5
196108,69.4
196109,67.4
196110,65.0
196111,58.4
196112,53.3
196201,55.4
196202,53.1
196203,52.9
196204,59.8
196205,60.8
196206,62.5
196207,65.4
196208,68.9
196209,67.0
196210,64.0
196211,59.0
196212,55.9
196301,54.6
196302,60.4
196303,55.9
196304,56.6
196305,62.2
196306,65.0
196307,68.0
196308,70.3
196309,73.9
196310,67.2
196311,61.1
196312,57.2
196401,54.6
196402,55.3
196403,55.2
196404,57.5
196405,57.8
196406,61.5
196407,66.1
196408,68.8
196409,66.1
196410,66.4
196411,58.3
196412,54.4
196501,55.0
196502,54.6
196503,56.8
196504,57.9
196505,59.9
196506,62.2
196507,65.0
196508,70.8
196509,67.4
196510,68.8
196511,59.8
196512,54.4
196601,52.9
196602,52.3
196603,56.8
196604,61.1
196605,62.8
196606,65.9
196607,66.9
196608,71.0
196609,67.8
196610,65.8
196611,60.2
196612,56.0
196701,54.7
196702,57.7
196703,56.9
196704,52.5
196705,61.6
196706,62.4
196707,68.6
196708,71.8
196709,70.9
196710,67.4
196711,63.0
196712,54.1
196801,55.0
196802,59.3
196803,58.8
196804,59.9
196805,61.3
196806,65.0
196807,67.1
196808,67.3
196809,67.4
196810,64.1
196811,60.5
196812,53.1
196901,55.8
196902,52.7
196903,55.2
196904,59.1
196905,61.9
196906,64.3
196907,67.9
196908,69.8
196909,65.9
196910,64.9
196911,63.1
196912,57.6
197001,55.7
197002,59.5
197003,58.2
197004,58.2
197005,62.1
197006,64.5
197007,67.5
197008,68.2
197009,68.0
197010,64.9
197011,60.0
197012,54.8
197101,54.3
197102,55.5
197103,55.6
197104,57.6
197105,60.2
197106,63.5
197107,68.3
197108,73.1
197109,69.7
197110,63.8
197111,58.0
197112,51.6
197201,52.8
197202,55.7
197203,58.6
197204,60.3
197205,62.9
197206,65.9
197207,69.2
197208,71.6
197209,68.6
197210,65.2
197211,59.0
197212,55.6
197301,53.4
197302,57.3
197303,54.3
197304,58.9
197305,61.2
197306,65.5
197307,66.8
197308,67.9
197309,66.3
197310,64.5
197311,58.3
197312,57.1
197401,53.1
197402,56.3
197403,55.4
197404,58.5
197405,61.7
197406,65.5
197407,69.4
197408,68.4
197409,67.7
197410,64.7
197411,61.5
197412,54.6
197501,55.6
197502,54.4
197503,54.5
197504,55.5
197505,59.9
197506,63.3
197507,67.7
197508,67.0
197509,69.0
197510,64.2
197511,59.4
197512,56.4
197601,58.8
197602,56.7
197603,57.2
197604,56.8
197605,62.0
197606,66.8
197607,68.8
197608,68.1
197609,69.2
197610,68.0
197611,64.7
197612,58.9
197701,56.4
197702,59.4
197703,54.8
197704,59.9
197705,60.0
197706,63.9
197707,67.4
197708,69.7
197709,67.5
197710,65.0
197711,63.5
197712,59.8
197801,57.4
197802,57.1
197803,60.9
197804,58.0
197805,64.3
197806,66.4
197807,66.6
197808,68.6
197809,72.4
197810,67.1
197811,57.8
197812,53.1
197901,53.4
197902,53.0
197903,56.3
197904,59.0
197905,62.4
197906,68.0
197907,67.2
197908,69.8
197909,72.6
197910,64.9
197911,59.8
197912,59.4
198001,58.4
198002,60.0
198003,57.1
198004,59.4
198005,58.9
198006,64.5
198007,67.5
198008,69.7
198009,65.9
198010,65.0
198011,61.2
198012,59.0
198101,58.3
198102,59.4
198103,56.9
198104,60.0
198105,63.6
198106,70.7
198107,70.4
198108,70.1
198109,68.4
198110,64.1
198111,60.9
198112,58.2
198201,53.4
198202,57.9
198203,56.4
198204,58.9
198205,61.3
198206,62.4
198207,68.1
198208,70.2
198209,70.4
198210,68.0
198211,60.0
198212,55.1
198301,57.7
198302,56.2
198303,56.6
