Modesto, California December Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
194501,43.9
194502,50.2
194503,50.1
194504,59.6
194505,62.7
194506,73.0
194507,78.4
194508,73.8
194509,71.0
194510,63.5
194511,50.5
194512,45.8
194601,43.5
194602,46.9
194603,53.3
194604,61.1
194605,65.0
194606,70.1
194607,75.7
194608,74.7
194609,71.1
194610,59.3
194611,48.9
194612,45.0
194701,40.0
194702,49.2
194703,56.2
194704,62.3
194705,70.4
194706,72.5
194707,73.4
194708,72.2
194709,73.1
194710,62.6
194711,48.1
194712,43.3
194801,46.6
194802,46.6
194803,50.2
194804,56.3
194805,61.5
194806,70.9
194807,74.7
194808,72.8
194809,69.5
194810,61.4
194811,49.6
194812,41.6
194901,36.7
194902,44.8
194903,52.0
194904,61.7
194905,64.1
194906,72.6
194907,73.9
194908,70.4
194909,69.5
194910,58.9
194911,53.2
194912,40.6
195001,41.5
195002,49.6
195003,51.3
195004,60.4
195005,65.6
195006,69.0
195007,77.2
195008,75.7
195009,69.7
195010,62.9
195011,56.5
195012,49.4
195101,45.4
195102,49.2
195103,52.8
195104,58.7
195105,65.8
195106,70.2
195107,74.2
195108,73.5
195109,70.9
195110,61.2
195111,52.8
195112,44.2
195201,44.2
195202,48.3
195203,-99
195204,58.3
195205,66.7
195206,66.3
195207,77.3
195208,74.3
195209,71.9
195210,64.1
195211,49.2
195212,46.2
195301,49.6
195302,49.3
195303,52.2
195304,57.5
195305,60.4
195306,67.0
195307,77.8
195308,71.3
195309,71.8
195310,61.0
195311,53.0
195312,45.8
195401,45.6
195402,48.2
195403,50.1
195404,62.4
195405,66.5
195406,69.8
195407,77.8
195408,70.6
195409,67.7
195410,60.8
195411,50.0
195412,43.1
195501,40.9
195502,45.7
195503,53.0
195504,53.7
195505,64.3
195506,69.5
195507,72.4
195508,74.5
195509,70.2
195510,62.0
195511,49.7
195512,48.5
195601,47.4
195602,45.6
195603,53.3
195604,57.9
195605,65.0
195606,71.1
195607,75.1
195608,71.9
195609,70.1
195610,59.7
195611,51.1
195612,44.3
195701,41.9
195702,52.2
195703,54.7
195704,59.8
195705,64.0
195706,74.6
195707,76.5
195708,72.0
195709,70.2
195710,60.4
195711,50.0
195712,44.3
195801,45.6
195802,53.9
195803,50.8
195804,58.3
195805,67.2
195806,70.3
195807,75.0
195808,78.7
195809,72.7
195810,65.6
195811,53.0
195812,48.6
195901,48.1
195902,48.7
195903,57.7
195904,63.5
195905,64.1
195906,73.9
195907,78.5
195908,74.6
195909,69.6
195910,65.7
195911,53.0
195912,45.7
196001,46.0
196002,49.7
196003,56.1
196004,59.3
196005,64.3
196006,76.5
196007,78.9
196008,75.1
196009,71.4
196010,62.5
196011,51.1
196012,43.6
196101,41.6
196102,52.4
196103,53.4
196104,60.5
196105,61.9
196106,75.4
196107,78.7
196108,77.2
196109,69.4
196110,63.2
196111,50.4
196112,43.3
196201,40.6
196202,47.0
196203,51.4
196204,62.5
196205,62.9
196206,71.8
196207,75.3
196208,74.5
196209,69.6
196210,60.1
196211,53.3
196212,44.2
196301,40.0
196302,56.2
196303,52.5
196304,54.1
196305,63.6
196306,69.6
196307,73.2
196308,74.2
196309,72.7
196310,62.6
196311,49.7
196312,39.4
196401,43.5
196402,48.7
196403,51.8
196404,58.1
196405,62.7
196406,69.3
196407,75.5
196408,74.5
196409,67.6
196410,64.9
196411,48.6
196412,48.7
196501,45.0
196502,48.7
196503,53.3
196504,57.9
196505,63.7
196506,65.7
196507,74.7
196508,75.5
196509,66.7
196510,64.9
196511,53.8
196512,41.0
196601,44.7
196602,47.7
196603,55.0
196604,63.2
196605,66.7
196606,71.4
196607,72.3
196608,75.9
196609,69.5
196610,61.9
196611,53.2
196612,43.9
196701,44.2
196702,47.2
196703,52.1
196704,50.3
196705,65.6
196706,69.6
196707,78.2
196708,78.9
196709,73.7
196710,63.9
196711,55.3
196712,42.4
196801,42.4
196802,55.0
196803,55.5
196804,60.4
196805,64.5
196806,73.3
196807,75.8
196808,71.9
196809,70.1
196810,60.8
196811,51.7
196812,43.2
196901,43.8
196902,47.2
196903,52.2
196904,58.2
196905,66.9
196906,68.7
196907,76.5
196908,76.4
196909,72.8
196910,59.2
196911,52.5
196912,47.3
197001,48.5
197002,52.0
197003,54.5
197004,55.3
197005,67.3
197006,71.2
197007,77.3
197008,73.7
197009,70.0
197010,60.6
197011,53.1
197012,45.3
197101,43.9
197102,46.6
197103,52.1
197104,56.4
197105,61.1
197106,69.4
197107,76.2
197108,76.7
197109,71.0
197110,59.6
197111,50.6
197112,41.8
197201,39.6
197202,51.1
197203,59.1
197204,58.9
197205,66.5
197206,72.2
197207,75.6
197208,75.1
197209,68.3
197210,61.0
197211,48.8
197212,40.2
197301,44.0
197302,51.2
197303,49.8
197304,60.2
197305,68.8
197306,74.5
197307,75.6
197308,73.8
197309,69.0
197310,61.1
197311,51.1
197312,45.9
197401,45.8
197402,48.4
197403,54.3
197404,57.7
197405,64.7
197406,72.9
197407,75.7
197408,74.9
197409,72.5
197410,64.6
197411,50.9
197412,44.3
197501,42.1
197502,49.9
197503,51.0
197504,53.5
197505,66.2
197506,70.7
197507,74.0
197508,72.7
197509,72.1
197510,59.8
197511,49.6
197512,44.3
197601,45.0
197602,49.6
197603,52.2
197604,56.5
197605,67.0
197606,70.8
197607,75.7
197608,70.8
197609,70.5
197610,63.9
197611,53.3
197612,44.4
197701,41.7
197702,51.4
197703,51.1
197704,62.4
197705,60.1
197706,74.4
197707,76.6
197708,75.5
197709,70.7
197710,64.4
197711,53.3
197712,49.0
197801,49.1
197802,51.3
197803,59.3
197804,57.7
197805,68.2
197806,71.9
197807,77.3
197808,76.3
197809,69.6
197810,66.0
197811,48.8
197812,40.0
197901,44.6
197902,48.8
197903,55.4
197904,59.8
197905,68.9
197906,74.4
197907,77.0
197908,74.1
197909,75.1
197910,64.3
197911,51.5
197912,46.9
198001,47.5
198002,52.8
198003,52.7
198004,59.2
198005,62.9
198006,68.1
198007,76.0
198008,73.5
198009,70.2
198010,63.9
198011,53.1
198012,44.7
198101,47.8
198102,51.2
198103,53.4
198104,60.9
198105,67.2
198106,77.9
198107,76.7
198108,75.4
198109,72.3
198110,59.8
198111,54.2
198112,48.1
198201,41.9
198202,51.1
198203,51.9
198204,58.4
198205,66.9
198206,68.5
198207,75.1
198208,75.2
198209,69.4
198210,62.3
198211,48.7
198212,44.6
198301,43.0
198302,51.9
198303,55.0
