Sacramento, California December Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
194501,43.4
194502,50.8
194503,49.4
194504,-99
194505,-99
194506,-99
194507,-99
194508,-99
194509,-99
194510,-99
194511,51.1
194512,46.1
194601,44.2
194602,45.3
194603,51.8
194604,-99
194605,-99
194606,-99
194607,-99
194608,-99
194609,-99
194610,-99
194611,49.6
194612,44.9
194701,41.1
194702,49.5
194703,54.7
194704,-99
194705,-99
194706,-99
194707,72.4
194708,71.7
194709,72.6
194710,61.3
194711,48.9
194712,44.4
194801,47.8
194802,46.9
194803,49.3
194804,53.2
194805,59.8
194806,68.9
194807,72.8
194808,71.7
194809,69.7
194810,62.2
194811,51.3
194812,41.6
194901,38.0
194902,45.1
194903,52.4
194904,61.2
194905,64.0
194906,72.2
194907,73.6
194908,71.2
194909,71.0
194910,60.9
194911,54.5
194912,42.7
195001,41.5
195002,49.7
195003,51.5
195004,60.3
195005,64.3
195006,68.4
195007,75.4
195008,75.1
195009,70.6
195010,63.1
195011,56.6
195012,49.8
195101,44.9
195102,49.5
195103,53.0
195104,57.8
195105,64.8
195106,69.1
195107,72.8
195108,72.3
195109,70.8
195110,61.9
195111,53.0
195112,44.4
195201,43.6
195202,48.4
195203,50.1
195204,58.9
195205,65.6
195206,65.1
195207,74.6
195208,73.6
195209,72.8
195210,65.3
195211,49.8
195212,46.5
195301,50.4
195302,50.3
195303,52.3
195304,57.2
195305,59.7
195306,67.1
195307,76.4
195308,70.8
195309,72.5
195310,61.9
195311,53.1
195312,46.9
195401,45.9
195402,48.6
195403,50.5
195404,61.4
195405,65.6
195406,69.2
195407,75.6
195408,69.9
195409,68.3
195410,61.5
195411,50.5
195412,43.2
195501,41.6
195502,47.4
195503,53.6
195504,53.3
195505,65.1
195506,69.0
195507,72.3
195508,74.7
195509,71.2
195510,63.1
195511,50.9
195512,49.1
195601,47.6
195602,46.6
195603,53.5
195604,58.0
195605,64.2
195606,71.5
195607,73.8
195608,71.5
195609,70.4
195610,60.4
195611,52.6
195612,43.7
195701,42.8
195702,51.6
195703,53.9
195704,60.0
195705,63.5
195706,74.3
195707,75.2
195708,72.2
195709,70.9
195710,60.5
195711,51.1
195712,44.7
195801,45.2
195802,53.4
195803,50.3
195804,59.1
195805,66.4
195806,70.3
195807,74.0
195808,77.9
195809,73.3
195810,66.8
195811,53.9
195812,49.8
195901,48.6
195902,48.9
195903,56.6
195904,63.3
195905,64.1
195906,73.7
195907,77.2
195908,73.3
195909,69.1
195910,65.8
195911,53.9
195912,46.1
196001,45.8
196002,50.3
196003,55.8
196004,58.9
196005,63.8
196006,76.1
196007,77.9
196008,74.4
196009,71.3
196010,64.7
196011,52.1
196012,44.7
196101,41.3
196102,51.1
196103,52.4
196104,58.9
196105,61.8
196106,75.8
196107,78.6
196108,76.6
196109,69.8
196110,63.4
196111,51.5
196112,43.4
196201,41.2
196202,47.0
196203,50.5
196204,60.8
196205,62.9
196206,71.0
196207,74.4
196208,74.3
196209,70.3
196210,61.7
196211,54.0
196212,45.4
196301,40.4
196302,55.3
196303,50.4
196304,53.0
196305,61.4
196306,69.5
196307,73.3
196308,74.5
196309,73.3
196310,63.6
196311,50.9
196312,40.6
196401,44.5
196402,48.7
196403,51.7
196404,58.3
196405,62.4
196406,69.4
196407,75.3
196408,75.1
196409,69.7
196410,66.1
196411,49.7
196412,49.1
196501,44.8
196502,48.6
196503,52.4
196504,56.7
196505,63.8
196506,66.4
196507,73.7
196508,75.0
196509,67.0
196510,65.3
196511,54.0
196512,40.4
196601,45.1
196602,46.9
196603,53.7
196604,62.2
196605,65.8
196606,71.9
196607,72.2
196608,76.3
196609,71.4
196610,63.5
196611,54.1
196612,45.5
196701,45.2
196702,47.8
196703,50.1
196704,49.0
196705,64.5
196706,68.8
196707,77.4
196708,78.4
196709,74.2
196710,64.9
196711,55.5
196712,43.4
196801,42.7
196802,53.9
196803,54.4
196804,59.2
196805,64.1
196806,73.3
196807,75.6
196808,72.4
196809,71.5
196810,61.4
196811,51.7
196812,42.9
196901,43.4
196902,46.8
196903,51.8
196904,56.5
196905,66.3
196906,68.4
196907,75.7
196908,77.3
196909,73.4
196910,60.3
196911,53.3
196912,47.4
197001,48.7
197002,51.3
197003,54.3
197004,55.5
197005,66.9
197006,70.9
197007,76.2
197008,74.0
197009,72.2
197010,61.5
197011,54.6
197012,45.5
197101,44.7
197102,47.6
197103,51.9
197104,55.8
197105,61.2
197106,69.9
197107,75.6
197108,76.2
197109,71.6
197110,60.6
197111,52.1
197112,42.4
197201,40.4
197202,50.8
197203,58.0
197204,58.0
197205,66.2
197206,71.9
197207,75.4
197208,75.3
197209,68.9
197210,61.4
197211,49.1
197212,39.9
197301,43.7
197302,52.5
197303,50.5
197304,60.1
197305,68.7
197306,74.0
197307,76.2
197308,73.6
197309,70.2
197310,62.8
197311,51.3
197312,46.2
197401,45.6
197402,47.8
197403,53.5
197404,56.3
197405,64.4
197406,71.8
197407,75.0
197408,74.5
197409,72.4
197410,65.7
197411,51.6
197412,44.0
197501,42.2
197502,49.1
197503,51.4
197504,52.7
197505,66.2
197506,70.4
197507,73.1
197508,72.3
197509,71.7
197510,61.3
197511,50.8
197512,45.3
197601,45.6
197602,50.4
197603,52.5
197604,56.1
197605,67.6
197606,71.4
197607,75.3
197608,70.6
197609,71.0
197610,66.1
197611,55.1
197612,45.1
197701,42.6
197702,51.9
197703,51.0
197704,62.2
197705,59.3
197706,72.1
197707,74.1
197708,73.8
197709,68.8
197710,63.8
197711,54.4
197712,49.6
197801,50.2
197802,51.8
197803,57.1
197804,55.7
197805,66.4
197806,69.9
197807,75.1
197808,74.9
197809,69.6
197810,65.9
197811,49.7
197812,41.6
197901,45.3
197902,48.7
197903,54.6
197904,56.9
197905,66.6
197906,71.8
197907,75.5
197908,73.1
197909,74.6
197910,64.0
197911,51.7
197912,46.7
198001,46.9
198002,51.8
198003,51.6
198004,59.5
198005,62.7
198006,66.8
198007,74.9
198008,71.4
198009,69.4
198010,63.6
198011,53.4
198012,45.4
198101,46.8
198102,50.3
198103,51.2
198104,57.9
198105,64.6
198106,74.7
198107,75.1
198108,74.5
198109,69.6
198110,63.5
198111,60.2
198112,48.6
198201,41.4
198202,50.5
198203,50.8
198204,55.4
198205,65.7
198206,67.4
198207,73.0
198208,73.6
198209,68.7
198210,62.3
198211,48.5
198212,45.3
198301,42.4
198302,50.7
198303,52.7
198304,54.6
198305,64.7
