San Diego, California December Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
194501,52.1
194502,53.7
194503,52.7
194504,55.2
194505,59.5
194506,61.8
194507,65.9
194508,68.7
194509,68.2
194510,64.2
194511,56.9
194512,54.1
194601,53.0
194602,51.2
194603,54.0
194604,59.3
194605,60.6
194606,64.8
194607,67.6
194608,69.2
194609,67.9
194610,61.0
194611,55.0
194612,53.9
194701,50.3
194702,55.4
194703,57.6
194704,59.8
194705,60.7
194706,63.6
194707,66.3
194708,67.8
194709,68.0
194710,63.4
194711,55.2
194712,52.6
194801,52.6
194802,51.0
194803,52.7
194804,58.0
194805,59.3
194806,61.5
194807,63.8
194808,65.1
194809,65.2
194810,60.9
194811,56.8
194812,50.5
194901,44.7
194902,49.6
194903,53.0
194904,58.2
194905,59.8
194906,64.0
194907,66.2
194908,67.0
194909,66.8
194910,61.1
194911,61.5
194912,51.7
195001,48.9
195002,52.4
195003,55.1
195004,57.5
195005,58.0
195006,61.0
195007,66.5
195008,65.1
195009,64.3
195010,63.6
195011,59.3
195012,56.6
195101,52.5
195102,52.4
195103,55.6
195104,57.5
195105,59.0
195106,62.6
195107,66.1
195108,65.8
195109,64.6
195110,63.6
195111,58.4
195112,52.3
195201,51.2
195202,54.7
195203,52.7
195204,56.5
195205,60.9
195206,60.7
195207,65.1
195208,67.1
195209,67.3
195210,62.0
195211,56.4
195212,53.2
195301,56.8
195302,53.8
195303,54.5
195304,55.7
195305,59.7
195306,61.6
195307,67.6
195308,66.7
195309,65.0
195310,64.3
195311,59.9
195312,54.5
195401,51.9
195402,58.0
195403,54.1
195404,57.8
195405,59.8
195406,61.9
195407,68.7
195408,67.8
195409,66.1
195410,61.0
195411,60.5
195412,55.0
195501,50.8
195502,52.3
195503,56.5
195504,56.5
195505,58.6
195506,61.6
195507,65.1
195508,69.2
195509,68.3
195510,60.1
195511,56.8
195512,54.0
195601,52.3
195602,50.3
195603,54.9
195604,55.6
195605,61.3
195606,63.2
195607,66.2
195608,66.5
195609,68.9
195610,62.6
195611,61.0
195612,56.7
195701,53.3
195702,56.9
195703,56.5
195704,57.6
195705,60.0
195706,65.0
195707,68.2
195708,70.1
195709,66.9
195710,62.4
195711,57.5
195712,58.2
195801,56.3
195802,57.3
195803,54.4
195804,60.6
195805,62.7
195806,64.8
195807,66.9
195808,69.8
195809,69.5
195810,67.8
195811,58.7
195812,58.8
195901,56.6
195902,53.9
195903,60.1
195904,61.5
195905,61.2
195906,65.0
195907,70.5
195908,70.4
195909,68.4
195910,64.1
195911,62.2
195912,57.0
196001,51.7
196002,53.7
196003,57.2
196004,60.0
196005,62.0
196006,63.6
196007,68.3
196008,68.4
196009,69.5
196010,63.1
196011,57.7
196012,53.5
196101,57.9
196102,56.2
196103,56.1
196104,59.1
196105,58.7
196106,61.9
196107,67.2
196108,69.7
196109,66.7
196110,63.9
196111,57.5
196112,53.3
196201,53.9
196202,53.7
196203,52.9
196204,58.9
196205,59.7
196206,61.1
196207,65.4
196208,67.7
196209,65.6
196210,61.8
196211,56.9
196212,53.6
196301,52.3
196302,58.4
196303,54.6
196304,55.9
196305,60.8
196306,61.9
196307,65.4
196308,69.2
196309,71.5
196310,65.3
196311,58.3
196312,55.7
196401,52.4
196402,53.9
196403,54.9
196404,57.4
196405,58.0
196406,61.1
196407,66.4
196408,67.9
196409,64.9
196410,65.8
196411,56.3
196412,52.8
196501,53.1
196502,53.1
196503,55.8
196504,57.8
196505,59.6
196506,60.9
196507,64.9
196508,69.2
196509,65.7
196510,66.6
196511,58.5
196512,52.8
196601,51.5
196602,52.2
196603,55.7
196604,58.9
196605,61.1
196606,64.1
196607,66.8
196608,70.2
196609,67.6
196610,65.3
196611,59.5
196612,54.9
196701,52.7
196702,55.4
196703,56.7
196704,54.2
196705,61.2
196706,61.3
196707,68.0
196708,70.8
196709,69.7
196710,65.8
196711,61.8
196712,53.1
196801,54.8
196802,58.4
196803,58.1
196804,59.7
196805,60.2
196806,62.9
196807,68.1
196808,68.7
196809,68.8
196810,63.2
196811,58.9
196812,51.4
196901,55.8
196902,53.2
196903,54.8
196904,59.6
196905,61.0
196906,63.3
196907,67.4
196908,70.6
196909,68.1
196910,63.0
196911,61.0
196912,56.0
197001,53.9
197002,56.6
197003,57.4
197004,57.0
197005,60.5
197006,62.6
197007,67.3
197008,69.7
197009,66.6
197010,63.2
197011,58.3
197012,52.3
197101,51.2
197102,52.3
197103,54.7
197104,57.6
197105,58.3
197106,61.8
197107,66.2
197108,72.3
197109,69.1
197110,62.6
197111,56.4
197112,51.1
197201,51.8
197202,54.7
197203,57.1
197204,59.2
197205,61.6
197206,64.0
197207,69.6
197208,69.1
197209,65.6
197210,62.5
197211,56.7
197212,53.6
197301,52.3
197302,56.4
197303,54.5
197304,58.1
197305,59.9
197306,64.5
197307,65.4
197308,67.4
197309,65.4
197310,63.7
197311,57.5
197312,55.1
197401,53.8
197402,55.1
197403,56.0
197404,58.9
197405,60.2
197406,63.9
197407,68.3
197408,67.1
197409,67.2
197410,63.6
197411,59.1
197412,53.2
197501,53.0
197502,53.3
197503,54.4
197504,55.7
197505,59.1
197506,62.0
197507,66.3
197508,65.8
197509,68.4
197510,62.8
197511,57.3
197512,53.8
197601,55.8
197602,56.5
197603,56.5
197604,57.2
197605,61.4
197606,65.9
197607,67.3
197608,68.6
197609,70.0
197610,67.3
197611,63.0
197612,56.8
197701,56.5
197702,57.9
197703,53.7
197704,57.6
197705,58.1
197706,62.0
197707,67.8
197708,69.3
197709,68.4
197710,65.1
197711,61.1
197712,59.5
197801,57.2
197802,57.1
197803,60.5
197804,59.6
197805,64.4
197806,67.5
197807,67.8
197808,69.1
197809,70.1
197810,66.3
197811,57.8
197812,51.5
197901,53.0
197902,53.1
197903,56.4
197904,59.6
197905,61.7
197906,66.5
197907,68.0
197908,70.1
197909,72.5
197910,64.9
197911,58.6
197912,56.8
198001,57.3
198002,59.7
198003,57.7
198004,60.1
198005,60.0
198006,64.7
198007,69.1
198008,70.4
198009,66.6
198010,63.5
198011,58.8
198012,57.0
198101,57.5
198102,58.4
198103,57.3
198104,60.6
198105,63.5
198106,69.1
198107,71.8
198108,72.1
198109,69.8
198110,63.3
198111,59.7
198112,56.5
198201,52.8
198202,56.9
198203,56.7
198204,59.9
198205,62.0
198206,62.9
198207,68.1
198208,69.7
198209,69.3
198210,66.3
198211,58.3
198212,53.6
198301,56.9
198302,57.1
198303,58.2
