San Francisco, California December Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
194507,62.5
194508,61.8
194509,63.5
194510,60.3
194511,54.7
194512,51.1
194601,48.5
194602,48.1
194603,51.5
194604,53.5
194605,55.6
194606,58.8
194607,61.9
194608,60.5
194609,63.0
194610,58.9
194611,51.9
194612,49.0
194701,44.9
194702,-99
194703,54.9
194704,57.1
194705,58.4
194706,62.9
194707,61.5
194708,63.4
194709,61.9
194710,60.4
194711,51.8
194712,47.9
194801,51.2
194802,48.4
194803,50.1
194804,52.8
194805,55.3
194806,60.7
194807,61.4
194808,61.9
194809,60.4
194810,59.2
194811,53.4
194812,46.0
194901,42.5
194902,47.2
194903,52.7
194904,54.1
194905,56.8
194906,60.6
194907,59.6
194908,61.4
194909,63.1
194910,57.4
194911,57.1
194912,47.5
195001,45.2
195002,50.2
195003,51.2
195004,55.6
195005,56.5
195006,58.6
195007,61.4
195008,63.6
195009,64.1
195010,60.9
195011,59.7
195012,53.7
195101,48.7
195102,50.3
195103,51.8
195104,52.3
195105,58.4
195106,59.3
195107,59.2
195108,61.7
195109,62.3
195110,60.2
195111,54.1
195112,48.7
195201,47.1
195202,51.5
195203,51.2
195204,55.0
195205,57.2
195206,58.2
195207,62.7
195208,60.6
195209,63.1
195210,59.1
195211,51.9
195212,50.6
195301,53.1
195302,50.3
195303,51.1
195304,52.6
195305,55.9
195306,59.0
195307,60.5
195308,62.4
195309,64.4
195310,58.8
195311,55.2
195312,51.3
195401,49.5
195402,51.3
195403,49.9
195404,56.8
195405,57.1
195406,59.2
195407,62.2
195408,61.5
195409,62.1
195410,59.6
195411,53.4
195412,47.8
195501,44.9
195502,48.8
195503,52.1
195504,51.4
195505,57.8
195506,58.9
195507,60.0
195508,60.2
195509,61.2
195510,58.9
195511,53.5
195512,51.5
195601,50.6
195602,47.8
195603,51.4
195604,53.9
195605,58.2
195606,61.2
195607,61.6
195608,62.0
195609,63.5
195610,58.0
195611,54.3
195612,48.4
195701,45.6
195702,52.7
195703,53.4
195704,56.5
195705,58.4
195706,63.5
195707,64.1
195708,62.5
195709,65.3
195710,60.9
195711,53.6
195712,49.3
195801,49.9
195802,55.2
195803,50.8
195804,56.4
195805,59.8
195806,62.4
195807,63.0
195808,65.2
195809,67.6
195810,61.2
195811,55.9
195812,54.1
195901,52.4
195902,50.9
195903,56.6
195904,57.9
195905,58.0
195906,61.3
195907,63.5
195908,64.5
195909,63.6
195910,64.1
195911,55.6
195912,50.5
196001,48.6
196002,51.6
196003,55.1
196004,56.2
196005,57.2
196006,64.1
196007,62.3
196008,61.7
196009,61.7
196010,59.6
196011,52.9
196012,48.8
196101,47.5
196102,53.3
196103,52.7
196104,56.3
196105,55.7
196106,63.2
196107,64.0
196108,64.4
196109,64.1
196110,60.5
196111,52.7
196112,47.0
196201,47.0
196202,49.9
196203,50.3
196204,55.7
196205,56.7
196206,59.8
196207,60.2
196208,63.6
196209,60.8
196210,59.4
196211,55.3
196212,49.4
196301,45.2
196302,55.8
196303,51.7
196304,52.7
196305,56.9
196306,58.7
196307,62.2
196308,63.5
196309,66.2
196310,62.0
196311,54.0
196312,46.0
196401,47.8
196402,50.7
196403,51.7
196404,53.9
196405,54.6
196406,61.5
196407,63.3
196408,64.5
196409,63.7
196410,61.1
196411,51.9
196412,51.5
196501,48.7
196502,50.6
196503,52.5
196504,54.7
196505,55.5
196506,58.5
196507,60.5
196508,63.5
196509,61.3
196510,62.8
196511,55.4
196512,45.1
196601,47.8
196602,49.0
196603,51.8
196604,58.0
196605,57.5
196606,61.6
196607,60.7
196608,62.5
196609,64.3
196610,60.6
196611,55.0
196612,49.2
196701,49.4
196702,51.6
196703,52.6
196704,51.1
196705,58.7
196706,59.6
196707,63.0
196708,63.0
196709,66.6
196710,63.7
196711,58.0
196712,48.3
196801,46.7
196802,54.7
196803,54.7
196804,55.1
196805,56.5
196806,61.5
196807,62.1
196808,65.2
196809,65.0
196810,60.1
196811,54.3
196812,48.0
196901,47.2
196902,49.0
196903,52.2
196904,54.1
196905,58.8
196906,60.2
196907,62.2
196908,63.6
196909,64.8
196910,61.4
196911,56.3
196912,53.9
197001,52.6
197002,55.1
197003,56.5
197004,53.9
197005,60.7
197006,60.7
197007,63.1
197008,61.8
197009,65.7
197010,58.7
197011,56.1
197012,48.9
197101,48.5
197102,50.2
197103,52.3
197104,53.2
197105,56.6
197106,60.3
197107,60.9
197108,65.4
197109,66.4
197110,57.2
197111,53.4
197112,46.3
197201,45.8
197202,52.3
197203,55.5
197204,55.5
197205,57.8
197206,61.1
197207,64.5
197208,64.2
197209,62.8
197210,61.1
197211,53.4
197212,45.1
197301,48.2
197302,53.1
197303,51.6
197304,57.0
197305,58.9
197306,63.7
197307,62.3
197308,60.9
197309,63.7
197310,60.9
197311,54.1
197312,50.2
197401,48.8
197402,49.9
197403,53.6
197404,55.0
197405,56.4
197406,60.5
197407,63.2
197408,63.9
197409,62.7
197410,62.2
197411,54.0
197412,48.8
197501,47.6
197502,51.1
197503,51.6
197504,50.8
197505,58.6
197506,60.1
197507,62.0
197508,63.2
197509,61.6
197510,59.0
197511,52.4
197512,49.5
197601,48.7
197602,50.7
197603,51.2
197604,53.5
197605,58.5
197606,63.4
197607,62.7
197608,64.5
197609,63.4
197610,61.6
197611,57.2
197612,49.0
197701,47.2
197702,53.4
197703,51.1
197704,55.7
197705,56.0
197706,60.6
197707,62.7
197708,64.3
197709,63.7
197710,60.7
197711,55.5
197712,52.5
197801,52.7
197802,53.0
197803,57.2
197804,55.1
197805,60.6
197806,60.5
197807,61.6
197808,63.5
197809,65.9
197810,61.4
197811,52.6
197812,46.2
197901,47.7
197902,50.5
197903,54.7
197904,55.7
197905,60.6
197906,61.2
197907,64.0
197908,63.9
197909,67.5
197910,62.8
197911,54.3
197912,51.1
198001,50.7
198002,54.6
198003,53.2
198004,56.0
198005,56.5
198006,60.1
198007,63.2
198008,61.7
198009,63.4
198010,61.4
198011,55.8
198012,50.9
198101,51.3
198102,54.2
198103,53.4
198104,56.3
198105,59.2
198106,65.2
198107,61.9
198108,63.1
198109,62.9
198110,58.8
198111,56.8
198112,52.5
198201,45.7
198202,52.8
198203,51.2
198204,54.8
198205,58.1
198206,59.1
198207,61.8
198208,63.2
198209,64.4
198210,61.8
198211,52.0
198212,49.6
198301,48.2
198302,53.5
198303,53.9
198304,55.1
198305,58.5
198306,61.8
198307,64.6
198308,66.3
198309,67.7
