STATION_ID,DURATION,SENSOR_NUMBER,SENS_TYPE,DATE TIME,OBS DATE,VALUE,DATA_FLAG,UNITS
OSM,M,2,RAIN,2008-01-01 00:00,2008-01-01 00:00,4.58,,INCHES
OSM,M,2,RAIN,2008-02-01 00:00,2008-02-01 00:00,,,INCHES
OSM,M,2,RAIN,2008-03-01 00:00,2008-03-01 00:00,,,INCHES
OSM,M,2,RAIN,2008-04-01 00:00,2008-04-01 00:00,0.00,,INCHES
OSM,M,2,RAIN,2008-05-01 00:00,2008-05-01 00:00,,,INCHES
OSM,M,2,RAIN,2008-06-01 00:00,2008-06-01 00:00,,,INCHES
OSM,M,2,RAIN,2008-07-01 00:00,2008-07-01 00:00,,,INCHES
OSM,M,2,RAIN,2008-08-01 00:00,2008-08-01 00:00,,,INCHES
OSM,M,2,RAIN,2008-09-01 00:00,2008-09-01 00:00,0.50,,INCHES
OSM,M,2,RAIN,2008-10-01 00:00,2008-10-01 00:00,0.00,,INCHES
OSM,M,2,RAIN,2008-11-01 00:00,2008-11-01 00:00,1.58,,INCHES
OSM,M,2,RAIN,2008-12-01 00:00,2008-12-01 00:00,2.71,e,INCHES
OSM,M,2,RAIN,2009-01-01 00:00,2009-01-01 00:00,0.22,,INCHES
OSM,M,2,RAIN,2009-02-01 00:00,2009-02-01 00:00,1.98,,INCHES
OSM,M,2,RAIN,2009-03-01 00:00,2009-03-01 00:00,0.07,e,INCHES
OSM,M,2,RAIN,2009-04-01 00:00,2009-04-01 00:00,0.07,,INCHES
OSM,M,2,RAIN,2009-05-01 00:00,2009-05-01 00:00,0.12,,INCHES
OSM,M,2,RAIN,2009-06-01 00:00,2009-06-01 00:00,0.00,,INCHES
OSM,M,2,RAIN,2009-07-01 00:00,2009-07-01 00:00,0.00,,INCHES
OSM,M,2,RAIN,2009-08-01 00:00,2009-08-01 00:00,0.00,,INCHES
OSM,M,2,RAIN,2009-09-01 00:00,2009-09-01 00:00,0.00,,INCHES
OSM,M,2,RAIN,2009-10-01 00:00,2010-05-01 00:00,0.05,r,INCHES
OSM,M,2,RAIN,2009-11-01 00:00,2009-11-01 00:00,0.25,,INCHES
OSM,M,2,RAIN,2009-12-01 00:00,2009-12-01 00:00,1.84,r,INCHES
OSM,M,2,RAIN,2010-01-01 00:00,2010-01-01 00:00,4.10,r,INCHES
OSM,M,2,RAIN,2010-02-01 00:00,2010-02-01 00:00,4.07,r,INCHES
OSM,M,2,RAIN,2010-03-01 00:00,2010-03-01 00:00,0.32,r,INCHES
OSM,M,2,RAIN,2010-04-01 00:00,2010-04-01 00:00,1.84,,INCHES
OSM,M,2,RAIN,2010-05-01 00:00,2010-05-01 00:00,0.00,,INCHES
OSM,M,2,RAIN,2010-06-01 00:00,2010-06-01 00:00,0.01,,INCHES
OSM,M,2,RAIN,2010-07-01 00:00,2010-07-01 00:00,0.00,,INCHES
OSM,M,2,RAIN,2010-08-01 00:00,2010-08-01 00:00,0.00,,INCHES
OSM,M,2,RAIN,2010-09-01 00:00,2010-09-01 00:00,0.00,,INCHES
OSM,M,2,RAIN,2010-10-01 00:00,2010-10-01 00:00,3.61,,INCHES
OSM,M,2,RAIN,2010-11-01 00:00,2010-11-01 00:00,0.64,,INCHES
OSM,M,2,RAIN,2010-12-01 00:00,2010-12-01 00:00,5.82,,INCHES
OSM,M,2,RAIN,2011-01-01 00:00,2011-01-01 00:00,1.50,,INCHES
OSM,M,2,RAIN,2011-02-01 00:00,2011-02-01 00:00,1.19,,INCHES
OSM,M,2,RAIN,2011-03-01 00:00,2011-03-01 00:00,2.02,,INCHES
OSM,M,2,RAIN,2011-04-01 00:00,2011-04-01 00:00,0.05,,INCHES
OSM,M,2,RAIN,2011-05-01 00:00,2011-05-01 00:00,0.99,r,INCHES
OSM,M,2,RAIN,2011-06-01 00:00,2011-06-01 00:00,0.13,,INCHES
OSM,M,2,RAIN,2011-07-01 00:00,2011-07-01 00:00,0.06,r,INCHES
OSM,M,2,RAIN,2011-08-01 00:00,2011-08-01 00:00,0.00,,INCHES
OSM,M,2,RAIN,2011-09-01 00:00,2011-09-01 00:00,0.79,,INCHES
OSM,M,2,RAIN,2011-10-01 00:00,2012-08-01 00:00,0.35,r,INCHES
OSM,M,2,RAIN,2011-11-01 00:00,2011-11-01 00:00,2.68,,INCHES
OSM,M,2,RAIN,2011-12-01 00:00,2011-12-01 00:00,1.01,,INCHES
OSM,M,2,RAIN,2012-01-01 00:00,2012-01-01 00:00,0.94,,INCHES
OSM,M,2,RAIN,2012-02-01 00:00,2012-02-01 00:00,0.41,,INCHES
OSM,M,2,RAIN,2012-03-01 00:00,2012-03-01 00:00,0.87,,INCHES
OSM,M,2,RAIN,2012-04-01 00:00,2012-04-01 00:00,1.29,,INCHES
OSM,M,2,RAIN,2012-05-01 00:00,2012-05-01 00:00,0.02,,INCHES
OSM,M,2,RAIN,2012-06-01 00:00,2012-06-01 00:00,0.00,,INCHES
OSM,M,2,RAIN,2012-07-01 00:00,2012-07-01 00:00,0.00,,INCHES
OSM,M,2,RAIN,2012-08-01 00:00,2012-08-01 00:00,,,INCHES
OSM,M,2,RAIN,2012-09-01 00:00,2012-09-01 00:00,,,INCHES
OSM,M,2,RAIN,2012-10-01 00:00,2012-10-01 00:00,0.73,,INCHES
OSM,M,2,RAIN,2012-11-01 00:00,2012-11-01 00:00,0.47,,INCHES
OSM,M,2,RAIN,2012-12-01 00:00,2012-12-01 00:00,1.85,,INCHES
OSM,M,2,RAIN,2013-01-01 00:00,2013-01-01 00:00,1.11,,INCHES
OSM,M,2,RAIN,2013-02-01 00:00,2013-02-01 00:00,0.38,,INCHES
OSM,M,2,RAIN,2013-03-01 00:00,2013-03-01 00:00,1.19,,INCHES
OSM,M,2,RAIN,2013-04-01 00:00,2013-04-01 00:00,0.00,,INCHES
OSM,M,2,RAIN,2013-05-01 00:00,2013-05-01 00:00,0.64,,INCHES
OSM,M,2,RAIN,2013-06-01 00:00,2013-06-01 00:00,0.00,,INCHES
OSM,M,2,RAIN,2013-07-01 00:00,2013-07-01 00:00,0.00,,INCHES
OSM,M,2,RAIN,2013-08-01 00:00,2013-08-01 00:00,0.00,,INCHES
OSM,M,2,RAIN,2013-09-01 00:00,2013-09-01 00:00,0.00,,INCHES
OSM,M,2,RAIN,2013-10-01 00:00,2013-10-01 00:00,0.49,,INCHES
OSM,M,2,RAIN,2013-11-01 00:00,2013-11-01 00:00,1.10,,INCHES
OSM,M,2,RAIN,2013-12-01 00:00,2013-12-01 00:00,0.23,,INCHES
OSM,M,2,RAIN,2014-01-01 00:00,2014-01-01 00:00,0.00,,INCHES
OSM,M,2,RAIN,2014-02-01 00:00,2014-02-01 00:00,1.46,,INCHES
OSM,M,2,RAIN,2014-03-01 00:00,2014-03-01 00:00,0.51,,INCHES
OSM,M,2,RAIN,2014-04-01 00:00,2014-04-01 00:00,0.22,,INCHES
OSM,M,2,RAIN,2014-05-01 00:00,2014-05-01 00:00,0.00,,INCHES
OSM,M,2,RAIN,2014-06-01 00:00,2014-06-01 00:00,0.00,,INCHES
