STATION_ID,DURATION,SENSOR_NUMBER,SENS_TYPE,DATE TIME,OBS DATE,VALUE,DATA_FLAG,UNITS
SFF,M,2,RAIN,1990-01-01 00:00,1990-12-29 00:00,3.06,,INCHES
SFF,M,2,RAIN,1990-02-01 00:00,1990-01-31 00:00,2.28,,INCHES
SFF,M,2,RAIN,1990-03-01 00:00,1990-02-28 00:00,0.79,,INCHES
SFF,M,2,RAIN,1990-04-01 00:00,1990-03-31 00:00,0.20,,INCHES
SFF,M,2,RAIN,1990-05-01 00:00,1990-04-30 00:00,1.55,,INCHES
SFF,M,2,RAIN,1990-06-01 00:00,1990-05-29 00:00,0.00,,INCHES
SFF,M,2,RAIN,1990-07-01 00:00,1990-07-29 00:00,0.01,,INCHES
SFF,M,2,RAIN,1990-08-01 00:00,1990-08-29 00:00,0.00,,INCHES
SFF,M,2,RAIN,1990-09-01 00:00,1990-09-28 00:00,0.20,,INCHES
SFF,M,2,RAIN,1990-10-01 00:00,1990-10-29 00:00,0.19,,INCHES
SFF,M,2,RAIN,1990-11-01 00:00,1990-11-28 00:00,0.28,,INCHES
SFF,M,2,RAIN,1990-12-01 00:00,1990-12-29 00:00,1.79,,INCHES
SFF,M,2,RAIN,1991-01-01 00:00,1991-01-31 00:00,0.24,,INCHES
SFF,M,2,RAIN,1991-02-01 00:00,1991-02-28 00:00,3.76,,INCHES
SFF,M,2,RAIN,1991-03-01 00:00,1991-03-31 00:00,6.07,,INCHES
SFF,M,2,RAIN,1991-04-01 00:00,1991-04-30 00:00,0.61,,INCHES
SFF,M,2,RAIN,1991-05-01 00:00,1991-05-29 00:00,0.21,,INCHES
SFF,M,2,RAIN,1991-06-01 00:00,1991-06-28 00:00,0.11,,INCHES
SFF,M,2,RAIN,1991-07-01 00:00,1991-07-29 00:00,0.00,,INCHES
SFF,M,2,RAIN,1991-08-01 00:00,1991-08-29 00:00,0.27,,INCHES
SFF,M,2,RAIN,1991-09-01 00:00,1991-09-28 00:00,0.04,,INCHES
SFF,M,2,RAIN,1991-10-01 00:00,1991-10-29 00:00,1.73,,INCHES
SFF,M,2,RAIN,1991-11-01 00:00,1991-11-30 00:00,0.23,,INCHES
SFF,M,2,RAIN,1991-12-01 00:00,1991-12-29 00:00,2.70,,INCHES
SFF,M,2,RAIN,1992-01-01 00:00,1992-01-31 00:00,2.04,,INCHES
SFF,M,2,RAIN,1992-02-01 00:00,1992-02-29 00:00,6.44,,INCHES
SFF,M,2,RAIN,1992-03-01 00:00,1992-03-31 00:00,4.12,,INCHES
SFF,M,2,RAIN,1992-04-01 00:00,1992-04-30 00:00,0.25,,INCHES
SFF,M,2,RAIN,1992-05-01 00:00,1992-05-31 00:00,0.00,,INCHES
SFF,M,2,RAIN,1992-06-01 00:00,1992-06-30 00:00,0.39,,INCHES
SFF,M,2,RAIN,1992-07-01 00:00,1992-07-31 00:00,0.00,,INCHES
SFF,M,2,RAIN,1992-08-01 00:00,1992-08-31 00:00,0.14,,INCHES
SFF,M,2,RAIN,1992-09-01 00:00,1992-09-30 00:00,0.00,,INCHES
SFF,M,2,RAIN,1992-10-01 00:00,1992-10-31 00:00,1.12,,INCHES
SFF,M,2,RAIN,1992-11-01 00:00,1992-11-30 00:00,0.15,,INCHES
SFF,M,2,RAIN,1992-12-01 00:00,1992-12-31 00:00,6.04,,INCHES
SFF,M,2,RAIN,1993-01-01 00:00,1993-01-31 00:00,11.26,,INCHES
SFF,M,2,RAIN,1993-02-01 00:00,1993-02-28 00:00,4.68,,INCHES
SFF,M,2,RAIN,1993-03-01 00:00,1993-03-31 00:00,2.34,,INCHES
SFF,M,2,RAIN,1993-04-01 00:00,1993-04-30 00:00,0.41,,INCHES
SFF,M,2,RAIN,1993-05-01 00:00,1993-05-29 00:00,0.55,,INCHES
SFF,M,2,RAIN,1993-06-01 00:00,1993-06-28 00:00,0.16,,INCHES
SFF,M,2,RAIN,1993-07-01 00:00,1993-07-29 00:00,0.00,,INCHES
SFF,M,2,RAIN,1993-08-01 00:00,1993-08-29 00:00,0.00,,INCHES
SFF,M,2,RAIN,1993-09-01 00:00,1993-09-28 00:00,0.00,,INCHES
SFF,M,2,RAIN,1993-10-01 00:00,1993-10-29 00:00,0.45,,INCHES
SFF,M,2,RAIN,1993-11-01 00:00,1993-11-28 00:00,1.47,,INCHES
SFF,M,2,RAIN,1993-12-01 00:00,1993-12-29 00:00,2.19,,INCHES
SFF,M,2,RAIN,1994-01-01 00:00,1994-01-31 00:00,2.50,,INCHES
SFF,M,2,RAIN,1994-02-01 00:00,1994-02-28 00:00,5.26,,INCHES
SFF,M,2,RAIN,1994-03-01 00:00,1994-03-31 00:00,0.24,,INCHES
SFF,M,2,RAIN,1994-04-01 00:00,1994-04-30 00:00,1.12,,INCHES
SFF,M,2,RAIN,1994-05-01 00:00,1994-05-29 00:00,1.52,,INCHES
SFF,M,2,RAIN,1994-06-01 00:00,1994-06-28 00:00,0.03,,INCHES
SFF,M,2,RAIN,1994-07-01 00:00,1994-07-29 00:00,0.00,,INCHES
SFF,M,2,RAIN,1994-08-01 00:00,1994-08-29 00:00,0.00,,INCHES
SFF,M,2,RAIN,1994-09-01 00:00,1994-09-28 00:00,0.10,,INCHES
SFF,M,2,RAIN,1994-10-01 00:00,1994-10-29 00:00,0.33,,INCHES
SFF,M,2,RAIN,1994-11-01 00:00,1994-11-28 00:00,5.73,,INCHES
SFF,M,2,RAIN,1994-12-01 00:00,1994-12-29 00:00,2.49,,INCHES
SFF,M,2,RAIN,1995-01-01 00:00,1995-01-31 00:00,8.89,,INCHES
SFF,M,2,RAIN,1995-02-01 00:00,1995-02-28 00:00,0.38,,INCHES
SFF,M,2,RAIN,1995-03-01 00:00,1995-04-04 00:00,8.75,,INCHES
SFF,M,2,RAIN,1995-04-01 00:00,1995-05-03 00:00,1.41,,INCHES
SFF,M,2,RAIN,1995-05-01 00:00,1995-06-02 00:00,0.93,,INCHES
SFF,M,2,RAIN,1995-06-01 00:00,1995-07-03 00:00,0.60,,INCHES
SFF,M,2,RAIN,1995-07-01 00:00,1995-10-03 00:00,0.00,,INCHES
SFF,M,2,RAIN,1995-08-01 00:00,1995-10-03 00:00,0.00,,INCHES
SFF,M,2,RAIN,1995-09-01 00:00,1995-10-03 00:00,0.00,,INCHES
SFF,M,2,RAIN,1995-10-01 00:00,1995-11-06 00:00,0.03,,INCHES
SFF,M,2,RAIN,1995-11-01 00:00,1995-12-01 00:00,0.08,,INCHES
SFF,M,2,RAIN,1995-12-01 00:00,1996-01-02 00:00,6.41,,INCHES
SFF,M,2,RAIN,1996-01-01 00:00,1996-02-02 00:00,6.92,,INCHES
SFF,M,2,RAIN,1996-02-01 00:00,1996-03-01 00:00,6.03,,INCHES
SFF,M,2,RAIN,1996-03-01 00:00,1996-04-02 00:00,2.89,,INCHES
SFF,M,2,RAIN,1996-04-01 00:00,1996-05-01 00:00,1.56,,INCHES
SFF,M,2,RAIN,1996-05-01 00:00,1996-06-03 00:00,1.24,,INCHES
SFF,M,2,RAIN,1996-06-01 00:00,1996-10-01 00:00,0.00,,INCHES
SFF,M,2,RAIN,1996-07-01 00:00,1996-10-01 00:00,0.00,,INCHES
SFF,M,2,RAIN,1996-08-01 00:00,1996-10-01 00:00,0.00,,INCHES
SFF,M,2,RAIN,1996-09-01 00:00,1996-10-01 00:00,0.00,,INCHES
SFF,M,2,RAIN,1996-10-01 00:00,1996-11-01 00:00,0.68,,INCHES
SFF,M,2,RAIN,1996-11-01 00:00,1996-12-03 00:00,2.54,,INCHES
SFF,M,2,RAIN,1996-12-01 00:00,1997-01-04 00:00,6.86,,INCHES
SFF,M,2,RAIN,1997-01-01 00:00,1997-02-03 00:00,8.64,,INCHES
SFF,M,2,RAIN,1997-02-01 00:00,1997-03-05 00:00,0.31,,INCHES
SFF,M,2,RAIN,1997-03-01 00:00,1997-04-02 00:00,0.25,,INCHES
SFF,M,2,RAIN,1997-04-01 00:00,1997-04-01 00:00,0.25,,INCHES
SFF,M,2,RAIN,1997-05-01 00:00,1997-05-01 00:00,0.21,,INCHES
SFF,M,2,RAIN,1997-06-01 00:00,1997-06-01 00:00,0.24,,INCHES
SFF,M,2,RAIN,1997-07-01 00:00,1997-08-01 00:00,0.00,,INCHES
SFF,M,2,RAIN,1997-08-01 00:00,1997-09-02 00:00,0.51,,INCHES
SFF,M,2,RAIN,1997-09-01 00:00,1997-10-01 00:00,0.00,,INCHES
SFF,M,2,RAIN,1997-10-01 00:00,1997-11-03 00:00,0.69,,INCHES
SFF,M,2,RAIN,1997-11-01 00:00,1997-12-03 00:00,6.39,,INCHES
SFF,M,2,RAIN,1997-12-01 00:00,1998-01-02 00:00,3.89,,INCHES
SFF,M,2,RAIN,1998-01-01 00:00,1998-02-02 00:00,8.98,,INCHES
SFF,M,2,RAIN,1998-02-01 00:00,1998-03-02 00:00,13.60,,INCHES
SFF,M,2,RAIN,1998-03-01 00:00,1998-04-01 00:00,2.01,,INCHES
SFF,M,2,RAIN,1998-04-01 00:00,1998-05-01 00:00,2.11,,INCHES
SFF,M,2,RAIN,1998-05-01 00:00,1998-06-01 00:00,2.34,,INCHES
SFF,M,2,RAIN,1998-06-01 00:00,1998-07-01 00:00,0.06,,INCHES
SFF,M,2,RAIN,1998-07-01 00:00,1998-08-11 00:00,0.00,,INCHES
SFF,M,2,RAIN,1998-08-01 00:00,1998-09-01 00:00,0.00,,INCHES
SFF,M,2,RAIN,1998-09-01 00:00,1998-10-01 00:00,0.09,,INCHES
SFF,M,2,RAIN,1998-10-01 00:00,1998-11-02 00:00,0.62,,INCHES
SFF,M,2,RAIN,1998-11-01 00:00,1998-12-01 00:00,2.41,,INCHES
SFF,M,2,RAIN,1998-12-01 00:00,1999-01-05 00:00,0.98,,INCHES
SFF,M,2,RAIN,1999-01-01 00:00,1999-02-01 00:00,3.01,,INCHES
SFF,M,2,RAIN,1999-02-01 00:00,1999-03-01 00:00,3.17,,INCHES
SFF,M,2,RAIN,1999-03-01 00:00,1999-03-01 00:00,2.70,,INCHES
SFF,M,2,RAIN,1999-04-01 00:00,1999-04-01 00:00,2.19,,INCHES
SFF,M,2,RAIN,1999-05-01 00:00,1999-05-01 00:00,0.10,,INCHES
SFF,M,2,RAIN,1999-06-01 00:00,1999-06-01 00:00,0.18,,INCHES
SFF,M,2,RAIN,1999-07-01 00:00,1999-07-01 00:00,0.00,,INCHES
SFF,M,2,RAIN,1999-08-01 00:00,1999-08-01 00:00,0.01,,INCHES
SFF,M,2,RAIN,1999-09-01 00:00,1999-09-01 00:00,0.00,,INCHES
SFF,M,2,RAIN,1999-10-01 00:00,1999-10-01 00:00,0.47,,INCHES
SFF,M,2,RAIN,1999-11-01 00:00,1999-11-01 00:00,2.21,,INCHES
SFF,M,2,RAIN,1999-12-01 00:00,1999-12-01 00:00,0.56,,INCHES
SFF,M,2,RAIN,2000-01-01 00:00,2000-01-01 00:00,7.37,,INCHES
SFF,M,2,RAIN,2000-02-01 00:00,2000-02-01 00:00,7.34,,INCHES
SFF,M,2,RAIN,2000-03-01 00:00,2000-03-01 00:00,1.74,,INCHES
SFF,M,2,RAIN,2000-04-01 00:00,2000-04-01 00:00,1.27,,INCHES
SFF,M,2,RAIN,2000-05-01 00:00,2000-05-01 00:00,0.55,,INCHES
SFF,M,2,RAIN,2000-06-01 00:00,2000-06-01 00:00,0.14,,INCHES
SFF,M,2,RAIN,2000-07-01 00:00,2000-07-01 00:00,0.00,,INCHES
SFF,M,2,RAIN,2000-08-01 00:00,2000-08-01 00:00,0.00,,INCHES
SFF,M,2,RAIN,2000-09-01 00:00,2000-09-01 00:00,0.07,,INCHES
SFF,M,2,RAIN,2000-10-01 00:00,2000-10-01 00:00,2.38,,INCHES
SFF,M,2,RAIN,2000-11-01 00:00,2000-11-01 00:00,0.85,,INCHES
SFF,M,2,RAIN,2000-12-01 00:00,2000-12-01 00:00,0.44,,INCHES
SFF,M,2,RAIN,2001-01-01 00:00,2001-01-01 00:00,3.87,,INCHES
SFF,M,2,RAIN,2001-02-01 00:00,2001-02-01 00:00,6.10,,INCHES
SFF,M,2,RAIN,2001-03-01 00:00,2001-03-01 00:00,1.01,,INCHES
SFF,M,2,RAIN,2001-04-01 00:00,2001-04-01 00:00,1.56,,INCHES
SFF,M,2,RAIN,2001-05-01 00:00,2001-05-01 00:00,0.00,,INCHES
SFF,M,2,RAIN,2001-06-01 00:00,2001-06-01 00:00,0.06,e,INCHES
SFF,M,2,RAIN,2001-07-01 00:00,2001-07-01 00:00,0.00,,INCHES
SFF,M,2,RAIN,2001-08-01 00:00,2001-08-01 00:00,0.00,,INCHES
SFF,M,2,RAIN,2001-09-01 00:00,2001-09-01 00:00,0.11,,INCHES
SFF,M,2,RAIN,2001-10-01 00:00,2001-10-01 00:00,0.31,,INCHES
SFF,M,2,RAIN,2001-11-01 00:00,2001-11-01 00:00,4.52,,INCHES
SFF,M,2,RAIN,2001-12-01 00:00,2001-12-01 00:00,8.54,,INCHES
SFF,M,2,RAIN,2002-01-01 00:00,2002-01-01 00:00,2.13,,INCHES
SFF,M,2,RAIN,2002-02-01 00:00,2002-02-01 00:00,2.59,,INCHES
SFF,M,2,RAIN,2002-03-01 00:00,2002-03-01 00:00,2.13,,INCHES
SFF,M,2,RAIN,2002-04-01 00:00,2002-04-01 00:00,0.36,,INCHES
SFF,M,2,RAIN,2002-05-01 00:00,2002-05-01 00:00,0.52,,INCHES
SFF,M,2,RAIN,2002-06-01 00:00,2002-06-01 00:00,0.00,,INCHES
SFF,M,2,RAIN,2002-07-01 00:00,2002-07-01 00:00,0.00,,INCHES
SFF,M,2,RAIN,2002-08-01 00:00,2002-08-01 00:00,0.03,,INCHES
SFF,M,2,RAIN,2002-09-01 00:00,2002-09-01 00:00,0.01,,INCHES
SFF,M,2,RAIN,2002-10-01 00:00,2002-10-01 00:00,0.01,r,INCHES
SFF,M,2,RAIN,2002-11-01 00:00,2002-11-01 00:00,2.00,r,INCHES
SFF,M,2,RAIN,2002-12-01 00:00,2002-12-01 00:00,12.03,,INCHES
SFF,M,2,RAIN,2003-01-01 00:00,2003-01-01 00:00,1.75,,INCHES
SFF,M,2,RAIN,2003-02-01 00:00,2003-02-01 00:00,1.80,,INCHES
SFF,M,2,RAIN,2003-03-01 00:00,2003-03-01 00:00,1.71,,INCHES
SFF,M,2,RAIN,2003-04-01 00:00,2003-04-01 00:00,3.60,,INCHES
SFF,M,2,RAIN,2003-05-01 00:00,2003-05-01 00:00,0.93,r,INCHES
SFF,M,2,RAIN,2003-06-01 00:00,2003-06-01 00:00,0.00,,INCHES
SFF,M,2,RAIN,2003-07-01 00:00,2003-07-01 00:00,0.00,t,INCHES
SFF,M,2,RAIN,2003-08-01 00:00,2003-08-01 00:00,0.06,,INCHES
SFF,M,2,RAIN,2003-09-01 00:00,2003-09-01 00:00,0.00,,INCHES
SFF,M,2,RAIN,2003-10-01 00:00,2003-10-01 00:00,0.04,,INCHES
SFF,M,2,RAIN,2003-11-01 00:00,2003-11-01 00:00,2.22,,INCHES
SFF,M,2,RAIN,2003-12-01 00:00,2003-12-01 00:00,7.69,,INCHES
SFF,M,2,RAIN,2004-01-01 00:00,2004-01-01 00:00,3.40,,INCHES
SFF,M,2,RAIN,2004-02-01 00:00,2004-02-01 00:00,5.67,,INCHES
SFF,M,2,RAIN,2004-03-01 00:00,2004-03-01 00:00,1.16,,INCHES
SFF,M,2,RAIN,2004-04-01 00:00,2004-04-01 00:00,0.12,,INCHES
SFF,M,2,RAIN,2004-05-01 00:00,2004-05-01 00:00,0.12,,INCHES
SFF,M,2,RAIN,2004-06-01 00:00,2004-06-01 00:00,0.00,,INCHES
SFF,M,2,RAIN,2004-07-01 00:00,2004-07-01 00:00,0.00,,INCHES
SFF,M,2,RAIN,2004-08-01 00:00,2004-08-01 00:00,0.05,,INCHES
SFF,M,2,RAIN,2004-09-01 00:00,2004-09-01 00:00,0.04,,INCHES
SFF,M,2,RAIN,2004-10-01 00:00,2004-10-01 00:00,2.63,,INCHES
