STATION,ID,ELEV (FEET),LATITUDE    ,LONGITUDE   ,COUNTY   ,OPERATOR AGENCY
SMITH RIVER,,,,,,
GASQUET RANGER STATION,GAS,384,41.845161,-123.965103   ,DEL NORTE   ,USGS/DWR-DFM-Hydro-SMN
CRESCENT CITY MC NAMARA FIELD,CEC,56,41.779999,-124.239998   ,DEL NORTE   ,National Weather Service
KLAMATH RIVER,,,,,,
YREKA,YRK,2625,41.700001,-122.633003   ,SISKIYOU   ,US Forest Service
HAPPY CAMP RS,HAP,1120,41.799999,-123.366997   ,SISKIYOU   ,US Forest Service
KLAMATH RIVER AT ORLEANS,OLS,430,41.303459,-123.534500   ,HUMBOLDT   ,USGS/DWR-DFM-Hydro-SMN
SCOTT RIVER,,,,,,
CALLAHAN,CAL,3185,41.317001,-122.800003   ,SISKIYOU   ,National Weather Service
FORT JONES RS,FJN,2725,41.599998,-122.849998   ,SISKIYOU   ,US Forest Service
TRINITY RIVER,,,,,,
COFFEE CREEK RANGER STATION,CFF,2503,41.089439,-122.708611   ,TRINITY   ,CA Dept of Water Resources/DFM-Hydro-SMN
WEAVERVILLE RS,WVR,2050,40.733002,-122.949997   ,TRINITY   ,US Forest Service
LEWISTON FISH HATCHERY,LFH,1870,40.727001,-122.792999   ,TRINITY   ,US Bureau of Reclamation
BIG BAR,BGB,1270,40.733002,-123.199997   ,TRINITY   ,US Forest Service
HOOPA,HOO,333,41.049999,-123.667000   ,HUMBOLDT   ,Natural Resources Conservation Service
EEL RIVER,,,,,,
COVELO 1 NNE,COV,1514,39.833,-123.083000   ,MENDOCINO   ,National Weather Service
SCOTIA,SCA,139,40.483002,-124.099998   ,HUMBOLDT   ,National Weather Service
EUREKA WOODLEY ISLAND,ERK,20,40.799999,-124.167000   ,HUMBOLDT   ,National Weather Service
RUSSIAN RIVER,,,,,,
UKIAH,UKH,633,39.150002,-123.199997   ,MENDOCINO   ,National Weather Service
FORT ROSS,FRR,112,38.516998,-123.250000   ,SONOMA   ,National Weather Service
SANTA ROSA,SRO,109,38.445,-122.752998   ,SONOMA   ,Sonoma County
RUSSIAN RIVER NEAR HEALDSBURG,HEA,108,38.613243,-122.836380   ,SONOMA   ,USGS/DWR
COAST-MARIN,,,,,,
LAGUNITAS LAKE,LGT,799,37.946999,-122.597000   ,MARIN   ,Marin Municipal Water District
NAPA RIVER,,,,,,
ANGWIN PACIFIC UNION COL,APU,1815,38.573101,-122.440598   ,NAPA   ,National Weather Service
FAIRFIELD,FRF,40,38.266998,-122.067001   ,SOLANO   ,National Weather Service
NAPA FIRE DEPARTMENT,NSH,35,38.283001,-122.266998   ,NAPA   ,Napa County
SAN FRANCISCO BAY,,,,,,
MOUNT HAMILTON,HML,4206,37.333,-121.650002   ,SANTA CLARA   ,National Weather Service
SAN FRANCISCO WB AP,SFF,8,37.617001,-122.383003   ,SAN MATEO   ,National Weather Service
SAN LORENZO RIVER,,,,,,
SANTA CRUZ,CRZ,130,36.983002,-122.016998   ,SANTA CRUZ   ,National Weather Service
PAJARO RIVER,,,,,,
HOLLISTER,HLS,275,36.844002,-121.424004   ,SAN BENITO   ,National Weather Service
WATSONVILLE WATER,WTW,95,36.932999,-121.766998   ,SANTA CRUZ   ,National Weather Service
SALINAS RIVER,,,,,,
SALINAS RIVER AT PASO ROBLES,PAS,700,35.628582,-120.684334   ,SAN LUIS OBISPO   ,USGS/DWR
BIG SUR STATE PARK,BGS,240,36.247002,-121.810997   ,MONTEREY   ,National Weather Service
SALINAS NO2,SAP,45,36.667,-121.667000   ,MONTEREY   ,National Weather Service
CARMEL RIVER,,,,,,
MONTEREY AIRPORT,MTY,217,36.590557,-121.847504   ,MONTEREY   ,National Weather Service
SAN LUIS OBISPO CREEK,,,,,,
SAN LUIS OBISPO POLY,SLO,315,35.299999,-120.667000   ,SAN LUIS OBISPO   ,National Weather Service
SANTA YNEZ RIVER,,,,,,
JUNCAL DAM,JNL,2075,34.483002,-119.500000   ,SANTA BARBARA   ,National Weather Service
CACHUMA LAKE (BRADBURY DAM),CCH,781,34.583,-119.980003   ,SANTA BARBARA   ,US Bureau of Reclamation
S BARBARA COAST,,,,,,
SANTA BARBARA SANITATION,SBR,5,34.417,-119.750000   ,SANTA BARBARA   ,Santa Barbara County
VENTURA LA COASTAL,,,,,,
MOUNT WILSON NO 2,WLS,5709,34.233002,-118.067001   ,LOS ANGELES   ,National Weather Service
LOS ANGELES-WSO AIRPORT,LAN,100,33.932999,-118.400002   ,LOS ANGELES   ,National Weather Service
SANTA CLARA RIVER,,,,,,
OXNARD,OXN,49,34.200001,-119.182999   ,VENTURA   ,City of Oxnard
LOS ANGELES RIVER,,,,,,
LOS ANGELES CIVIC CENTER,LCC,270,34.049999,-118.233002   ,LOS ANGELES   ,National Weather Service
SANTA ANA RIVER,,,,,,
BIG BEAR LAKE,BBE,6790,34.247002,-116.890999   ,SAN BERNARDINO   ,National Weather Service
ELSINORE,ELS,1285,33.667,-117.333000   ,RIVERSIDE   ,CA Dept of Forestry and Fire Protection
SANTA ANA FIRE STA,ANA,135,33.75,-117.866997   ,ORANGE   ,National Weather Service
SAN DIEGO RIVER,,,,,,
CUYAMACA DAM,CUY,4641,32.990002,-116.586998   ,SAN DIEGO   ,National Weather Service
HENSHAW DAM,HSD,2700,33.233002,-116.766998   ,SAN DIEGO   ,Vista Irrigation District
EL CAPITAN DAM,ELC,600,32.882,-116.807999   ,SAN DIEGO   ,San Diego County
SAN DIEGO NWS-LINDBERGH FIELD,SDG,13,32.733002,-117.167000   ,SAN DIEGO   ,National Weather Service
OCEANSIDE MARINA,OSM,10,33.216999,-117.400002   ,SAN DIEGO   ,Oceanside Small Craft Harbor
SACRAMENTO RIVER,,,,,,
MOUNT SHASTA CITY,MSC,3590,41.317001,-122.317001   ,SISKIYOU   ,National Weather Service
DUNSMUIR TREATMENT PLANT,DNM,2170,41.200001,-122.266998   ,SISKIYOU   ,National Weather Service
GIBSON,GIB,1633,41.022221,-122.399170   ,SHASTA   ,CA Dept of Water Resources/DFM-Hydro-SMN
WHISKEYTOWN DAM (USBR),WHI,1210,40.598,-122.537003   ,SHASTA   ,US Bureau of Reclamation
SHASTA DAM (USBR),SHA,1067,40.717999,-122.419998   ,SHASTA   ,US Bureau of Reclamation
NORTHERN SIERRA 8-STATION PRECIP INDEX,8SI,0,39.900002,-120.900002   ,PLUMAS   ,CA Dept of Water Resources/DFM-Hydro-Water Supply Fcasting
MC CLOUD RIVER,,,,,,
MCCLOUD,MLD,3280,41.25,-122.133003   ,SHASTA   ,US Bureau of Reclamation
PIT RIVER,,,,,,
MANZANITA LAKE,MZL,5850,40.533001,-121.567001   ,SHASTA   ,CA Dept of Water Resources
JESS VALLEY,JSV,5300,41.27,-120.300003   ,MODOC   ,National Weather Service
ALTURAS RS,ALT,4400,41.5,-120.550003   ,MODOC   ,US Forest Service
ADIN RS,ADN,4195,41.194,-120.944000   ,MODOC   ,US Forest Service
HAT CREEK #1 PH (PG&E),HTC,3015,40.932999,-121.550003   ,LASSEN   ,Pacific Gas & Electric
PIT #1 PH (PG&E),PR1,2880,41,-121.498001   ,SHASTA   ,Pacific Gas & Electric
PIT #5 PH (PG&E),PR5,1458,40.987,-121.977997   ,LASSEN   ,Pacific Gas & Electric
SACTO VLY NE,,,,,,
MINERAL (OBSERVER),MNR,4875,40.349998,-121.599998   ,TEHAMA   ,National Weather Service
CHICO UNIV FARM,CES,185,39.700001,-121.817001   ,BUTTE   ,National Weather Service
SACTO VLY WEST,,,,,,
RED BLUFF,RBF,353,40.152,-122.253998   ,TEHAMA   ,National Weather Service
ORLAND,ORL,254,39.75,-122.199997   ,GLENN   ,National Weather Service
WOODLAND 1 WNW,WDL,69,38.682999,-121.800003   ,YOLO   ,National Weather Service
DAVIS 2WSW,DVS,60,38.533001,-121.766998   ,SACRAMENTO   ,National Weather Service
SACRAMENTO WB CITY,SCR,25,38.583,-121.500000   ,SACRAMENTO   ,National Weather Service
BUTTE CREEK,,,,,,
DE SABLA (PG&E),DSB,2710,39.867001,-121.616997   ,BUTTE   ,Pacific Gas & Electric
PARADISE FIRE STATION,PRD,1750,39.75,-121.616997   ,BUTTE   ,National Weather Service
STONY CREEK,,,,,,
STONY GORGE RESERVOIR,STG,800,39.583,-122.532997   ,GLENN   ,US Bureau of Reclamation
FEATHER RIVER,,,,,,
PLUMAS EUREKA PARK,PLE,5165,39.757778,-120.695930   ,PLUMAS   ,Plumas County
SIERRAVILLE RANGER STATION,SRR,4975,39.583889,-120.369370   ,SIERRA   ,US Forest Service
PORTOLA,PRT,4850,39.799999,-120.467003   ,PLUMAS   ,National Weather Service
CANYON DAM,CNY,4560,40.167,-121.083000   ,PLUMAS   ,Pacific Gas & Electric
CHESTER,CHS,4525,40.283001,-121.233002   ,PLUMAS   ,US Forest Service
STRAWBERRY VALLEY,STV,3808,39.567001,-121.099998   ,YUBA   ,National Weather Service
BRUSH CREEK (DWR-2),BCM,3560,39.694,-121.339996   ,BUTTE   ,CA Dept of Water Resources/DFM-Hydro-Water Supply Fcasting
QUINCY RADIO STATION,QRD,3420,39.9366,-120.947502   ,PLUMAS   ,National Weather Service
QUINCY RS (USFS),QNC,3420,39.959999,-120.949997   ,PLUMAS   ,US Forest Service
CARIBOU PH,CBO,2986,40.084999,-121.150002   ,PLUMAS   ,CA Dept Water Resources and Pacific Gas and Electric
BUCKS CREEK POWERHOUSE,BUP,1760,39.917,-121.333000   ,PLUMAS   ,Pacific Gas & Electric
FEATHER RIVER NEAR NICOLAUS,NIC,43,38.889835,-121.604759   ,SUTTER   ,CA Dept of Water Resources/North Central Region Office
YUBA RIVER,,,,,,
SODA SPRINGS 1 E,SSG,6885,39.317001,-120.366997   ,NEVADA   ,US Forest Service
BOWMAN LAKE,BOL,5390,39.447693,-120.654823   ,NEVADA   ,CA Dept of Water Resources/DFM-Hydro-SMN
BOWMAN,BOW,5385,39.450001,-120.650002   ,NEVADA   ,Nevada Irrigation District
LAKE SPAULDING (PG&E),LSP,5156,39.317001,-120.633003   ,NEVADA   ,Pacific Gas & Electric
DEER CK FOREBAY (PG&E),DRC,4455,39.299999,-120.824997   ,NEVADA   ,Pacific Gas & Electric
DOWNIEVILLE,DWV,2915,39.5667,-120.833298   ,SIERRA   ,National Weather Service
NEVADA CITY,NVD,2781,39.25,-121.000999   ,NEVADA   ,Nevada County
CAMPTONVILLE (DWR),CAM,2755,39.451,-121.049004   ,YUBA   ,CA Dept of Water Resources/Operations and Maintenance
GRASS VALLEY,GSV,2400,39.216999,-121.067001   ,NEVADA   ,National Weather Service
ENGLEBRIGHT (USACE),ENG,551,39.238998,-121.266998   ,NEVADA   ,US Army Corps of Engineers
AMERICAN RIVER,,,,,,
CAPLES (TWIN) LAKE,CPT,8000,38.700001,-120.032997   ,ALPINE   ,National Weather Service
BLUE CANYON,BLC,5280,39.280098,-120.708694   ,PLACER   ,US Bureau of Reclamation
PACIFIC HOUSE (OBSERVER),PCF,3400,38.764999,-120.500000   ,EL DORADO   ,National Weather Service
FORESTHILL R S,FRH,3015,39.016998,-120.849998   ,PLACER   ,US Forest Service
GEORGETOWN RS (USFS),GRG,3001,38.932999,-120.800003   ,EL DORADO   ,US Forest Service
COLFAX,CLF,2400,39.122002,-120.950996   ,PLACER   ,National Weather Service
PLACERVILLE,PCV,1850,38.700001,-120.820000   ,EL DORADO   ,National Weather Service
